stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,47.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,75.81,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,9.6,0,0,0,0,0,0,0,0
 10-12,0,4.22,0,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.42,5.97,0,0,8.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.62,1.21,0,0,0,0,0,1.35,1.19,0,0,0,0,0,0,1,0,0,67.01,0,0,0,0,0,0.91,48.81,0,0,0,0,0
 24-34,0,0,0.6,0.61,0,0,6.78,0,0,0,2.2,0,0,0,0,0,0,0,3.34,0,0,362.61,0,0,0,0,0.95,0,220.35,0,0,1.53,0,0
 36-46,0,0,0,14.04,0,0,22.44,0,0,0,3.92,0,0,0,0,0,0,2.27,7.93,0,1.33,563.6,0,2.36,1.43,0,3.77,0,257.64,0,0,0,0,0
 48-58,0,0,0,12.57,0,0,48.75,0,1.46,0.44,28.15,0,2.05,0,6.79,0,0,0,9.94,0,1.92,864.17,0,0,3.14,0,0.52,0,277.12,0,0,3.26,0,0.66
 60-70,0,0,0,1.5,0,0,169.54,0,0,0,12.64,0,0,10.88,0,0,2.6,0,15.74,0,0,1154.11,0,0,0,0,4.04,0,286.68,1.44,0,0,0,0
 72-82,0,0,0,2.39,1.31,0,274.14,0.79,9.95,0.82,23.47,0,0,0,0,0,0,0,24.71,8.93,1.03,1413.27,0,0,0,0,0,0,271.26,0,0,0,0,0
 84-94,0,0,0,6.1,1.18,0,237.77,0,4.74,0,17.1,0,0,0,1.25,0,0,0,19.96,1.37,4.83,954.23,0,0,3.03,0,7.99,0,183.85,0,0.58,3.44,0,3.47
 96-106,0,0,0,0.79,4.05,0,210.33,0,1.21,0,21.08,0,0.62,0,0.61,0.75,0,0,11.05,0,0,927.83,0.68,0,0.83,0,1.61,0,74.84,0,0.88,0.65,0.68,0
108-118,0,0,0,2.31,3.61,3.08,227.9,0.92,0,0,24.28,0,0,0,0,0,0,0,16.97,5.98,1.39,779.13,0,0,0.87,0,0.72,0,63.01,1.56,3.64,0,0.5,0
120,0,0,0,12.4,4.51,0,495.28,0,0,0,39.12,0,0,0,0,0,0,0,33.24,0,2.52,1654.48,0,0,0,0,7.17,0,90.08,0,0,7,0,4.69
