stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,10.46,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0
  5-6,11.62,39.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,31.84,0,0,11.17,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,24.41,0,0,0,0,0,0,28.31,0,0,3,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.76,0,0,0,2.37,0,0,0,0,0,0,0,1.71,12.1,0,0,0,0,0,2.44,6.71,0,0,0
 24-34,0,0,0.8,1.19,0,2.19,0,0,0,0,0,0,0,0,0,0.63,0,3.57,212.35,0.68,0,0,0,0.67,6.87,35.31,0,2.62,0
 36-46,0,0,0,10.07,0,4.39,1.33,1.39,0,1.84,0,0,0,0,0,4.37,0,0.69,146.87,0,0,0,1.65,0,0,26.69,0,0.81,0
 48-58,0,0,0,0,0,6.66,0,0,0,8.23,0,0.75,0,0,0.4,3.57,0.91,1.15,111.46,0,0,0,0,0,0,29.11,0,1.12,0
 60-70,0,0,0,0,0,37.91,0,0,0,5.74,0,0,0,0,0,2.69,0,1.44,166.49,0,0.77,0,0,1.71,0,22.76,0,0,0
 72-82,0,0,0,10.03,0,74.58,0,0,4.59,4.07,0,0,0,5.31,0,0.69,0,0,131.67,0,0.84,0,0,0,0,3.24,0,0,0
 84-94,0,0,0,0.57,0,100.97,0,0,0,13.56,0,0,0,0,0,8.1,0,0,72.22,0,5.18,0,2.48,0,0,0,0,5.56,0
 96-106,0,0,0,1.31,2.38,89.91,0,1.32,0,4.4,2.78,0,0,0,1.15,2.09,0,0,81.62,1.93,1.77,0,0,0,0,7.5,0,0,0
108-118,0,0,0.93,0,0,86.49,0.87,0,0,0.68,0,0,0,0,0,3.33,0,3.21,74.36,0,1.56,0,0,0,0,2.99,0.44,0,0
120,0,0,0,1.89,0,62.03,4.55,4.34,16.69,3.96,2.51,0,4.02,0,1.69,8.24,0,0,201.29,0,2.25,0,2.72,0,0,0,0,0,13.95
