stage,blastomeres,endoderm,eye,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,107.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.75,8.49,0,3.27,0,0,0,22.21,29.05,0,0,0,0
 10-12,0,5.05,0,0,0,0,0,0,17.98,0,15.22,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.82,0,0,0.99,0,0
 24-34,0,0,1.34,0,0,0,0,0,1.84,0,0,0,1.35,0
 36-46,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0
 48-58,0,0,0,0.79,0,0,0,0,1.41,0,0,0,0,0
 60-70,0,0,0.9,0,0,0,0,0,1.22,0,0,0,0,1.59
 84-94,0,0,0.74,0,0,0,0,0,2.77,0,0,0,0,0
 96-106,0,0,0,0,0,1.44,0.63,0,0,0,0,0,0,0
108-118,0,0,0.7,0,0,0.96,0,0.65,7.94,0,0,0,0,0
