stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.95,1908.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.86,0,0,0,0,0,0,0,0,0,0
  5-6,345.6,3877.69,0,28.84,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,259.76,0,0,0,87.65,0,44.99,0,0,0,0,0,0,0,0,0,0
  7-9,170.22,126.85,0,319.12,0,0,0,556.27,0,0,0,0,122.95,0,0,0,0,0,0,0,0,0,0,0,3994.12,179.83,0,0,2267.36,0,13.95,16.45,0,0,0,0,0,0,0,0,0
 10-12,0,189.44,0,281.56,0,42.89,0,416.83,0,0,0,0,45.21,0,0,0,0,0,0,0,0,0,0,0,4033.32,166.31,0,0,2177.5,0,3.07,0,9.6,213,18.02,10.64,0,0,0,0,0
 14-21,0,0,0,15.86,118.8,44.37,0,103.14,0,0,40.02,4.76,0,0,0,0.89,0,0,0,0,94.09,0,0,58.25,1351.19,29.08,1.13,5.49,35.51,0,17.77,0,296.12,3.66,97.83,355.72,0,0,0.81,0,0
 24-34,0,0,0,5.48,22.71,6.7,0,306.79,2.66,0,28.79,2.4,0,3.19,0.71,1.85,4.42,2.36,12.12,0,159.71,0.68,0.91,61.91,1968.84,7.99,6.8,17.51,0,0,29.78,0,1.03,1.48,8.97,361.53,0,0,32.12,0,3.85
 36-46,0,0,0,0,43.09,1.98,0,446.79,1.06,0.75,33.37,0,0,2.18,0.67,0,0.65,2.64,1.97,8.03,112.09,0,2.14,33.35,1063.8,1.27,8.39,7.41,0,0.97,11.22,0,4.42,0.63,0,205.62,0,0,9.57,0,1.45
 48-58,0,0,0,0,26.85,4.62,0,437.91,2.16,0.94,30.79,2.6,0,1.53,1.67,0.48,0,1.69,4.08,2.96,108.04,0,3.98,43.52,442.97,9.27,5.05,3.97,0,0,15.85,0,0,0,0,65.63,0,0,18.2,0,2.61
 60-70,0,0,6.75,0,15.52,0.7,0,316.24,1.76,8.12,39.12,0.59,0,0,2.36,0,0,0.67,1.19,0,109.84,1.43,2.87,24.47,263.11,1.84,0,1.97,0,0,9.04,0,0,1.88,0,24.2,0,0,7.94,0,5.58
 72-82,0,0,0.69,0,10.18,2.82,0,119.34,0,2.95,51.09,2.03,0,2.26,1.07,0.95,9.12,3.61,0,0,81.51,2.55,3.97,13.91,215.24,0,2.69,2.23,0,4.52,13.09,0,0,0,0,14.39,0.71,0.78,12.47,0,0
 84-94,0,0,0,0,16.28,2.27,0,125.45,4.42,0.6,41.17,4.83,0,2.23,5.21,1.89,3.15,3.52,0,2.21,78.62,0.78,6.1,25.2,201.6,4.56,2.63,4.39,0,0.77,12.85,0,0,0,0,8.34,3.4,0,11.43,1.2,0
 96-106,0,0,0,0,29.89,11.66,0,88.27,0.57,2.14,47.97,3.09,0,3.31,6.17,1.06,0,7.03,2.9,0,76.34,0,0.76,14.29,143.07,0,5.09,3.91,0,0,26.56,0,0,0,0,15.75,0,0,7.96,0,0.73
108-118,0,0,0.81,0,16.48,6.66,2.84,105.04,2.73,1.44,47.96,1.53,0,0,7.8,0,1.38,1.2,5.34,0,76.65,0,0.94,14.47,206.91,0,1.47,6.64,0,8.49,17.8,0,0,1.05,0,13.49,2.35,0,13.01,0,3.25
120,0,0,0,0,11.82,20.19,3.31,131.17,1.01,0,74.88,0,0,0,21.36,2.76,1.59,5.02,0,0,71.59,0,0,10.11,282.14,3.49,1.45,0,0,0,9.34,0,0,0,0,8.76,0,0,12.25,0,0
