stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.04,33.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.22,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,11.36,0,7.85,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,37.11,0,0,0,12.79,0,0,0,0,0,5.05,0,0,0,0,0
 14-21,0,0,0,16.98,6.41,0,1.74,0,0,0,1.76,0,0,0,2.92,0,0,0,0.98,5.71,0,0,10.01,25.46,2.16,0,2.15,0,0,3.42,8.16,1.76,21.15,28.42,37.9,0,0,0,0
 24-34,0,0,1.72,2.82,0,0,10.98,0.9,0,10.22,0,0,1.85,0,0,0,0,0,5.95,34.25,1.51,0,13.44,61.84,1.27,0.72,0.76,0,0,1.17,0,0.69,3.73,5.1,32.07,0,7.92,0,0.91
 36-46,0,0,0.96,0.6,0,0,10.3,1.83,0,8.92,1.72,0,2.13,0.81,0,0,0,0,16.94,71.24,0,1.76,29.07,60.24,7.41,0,5.74,0,0,0,0,4.61,0.58,0,20.89,0,12.7,0,6.23
 48-58,0,0,0,3.16,0,0,8.79,12.38,1.32,9.53,5.67,0,1.64,0,0,5,0.5,0,1.37,55.74,0,2,5.14,25.81,2.28,0,2.45,0,0,0,0,0,4.04,0,11.99,0,9.96,0,18.46
 60-70,0,0,0,2.17,0,0,1.63,6.27,2.72,34.17,0.72,0,0,0,0,9.18,0,0,6.35,97.15,0,0,6.76,19.46,1.63,0,0,0,4.14,0,0,0,2.16,0,3.44,1.03,4.31,0,36.45
 72-82,0,0,0,0,0,0,7.45,6.88,0.82,5.25,1.17,0.52,0.87,0,0,6.52,0,0,0.49,85.97,0,5.56,1.93,24.86,4.24,0,1.27,0,0,0,0,0,0,0,6.02,0.87,21.48,1.63,13.31
 84-94,0,0,0,0.63,0,0,8.89,0.79,0,6.14,2.11,0,0,0,0.55,18.91,0,0,5.94,116.66,0,1.38,5.06,29.56,9.91,0,0,0,0,0.85,0,0,0,0,0,0,20.65,0,26.94
 96-106,0,0,0,3.79,0,2.87,5.98,0.58,0.82,15.02,4.82,0,0,0,0,10.48,2.29,0.93,3.53,84.39,0,0,3.66,26.04,0,0,3.89,0,2.4,0,0,0,0.64,0,3.26,2.73,24.08,0.74,28.92
108-118,0,0,0,1.34,0.41,1.63,12.13,1.98,2.99,24.7,4.47,0,0,2.53,0,51.33,0.44,1.34,12.35,78.84,0,0,5.64,23,0,0,0.43,0,0,2.78,0,0,1.51,0,0,2.53,33.61,0.72,9.3
120,0,0,0,0,0,0,12.9,0,0,6,10.47,0,1.15,1.18,0,16.18,1.62,1.5,1.51,78.47,0,17.77,0,32.54,3.31,0,10.6,0,19.53,0,0,1.04,0,0,0,6,22.43,1.8,0
