stage,blastomeres,iridophores,mesenchyme,neural,paraxial.mesoderm,periderm,vascular.smooth.muscle
  3-4,97.15,0,0,0,0,0,0
  5-6,63.96,0,0,0,0,0,0
  7-9,8.48,0,0,13.55,6.02,0,0
 48-58,0,0,0,4.59,0,0,0
 72-82,0,0,1.09,1.4,0,0,0
 84-94,0,1.74,0.62,0,0,1.31,0
 96-106,0,0,0,0,0,0,0.83
