stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.59,1288.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,0,0,0,0,0,0
  5-6,151.64,1405.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,15.57,0,0,7.9,0,22.46,0,0,0,0,0,0,0,0,0
  7-9,3.44,12.39,42.99,0,0,23.17,0,0,0,0,15.65,0,0,0,0,0,0,0,0,0,0,0,344.04,0,0,0,112.86,0,0,7.7,0,0,0,0,0,0,0,0
 10-12,0,0,13.48,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.09,23.26,0,0,57.45,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,3.3,7.07,0,0,0,0,0,0,0,0,1.91,0,0,0,104.77,0,1.34,0,0,7.49,33.98,1.23,0,0,1.19,0,0,3.06,1.84,0.91,19.35,0,0,1.6,0,0
 24-34,0,0,0,1.3,2.44,0,0,0,1.64,0,0,0.75,28.48,0,0,0,59.18,0,7.87,0,0,2.96,68.15,0,0.69,0,0,0,0,0,0,0,10.06,0,0,39.46,0,0
 36-46,0,0,0,0.6,0,14.24,0,0,1.67,0,0,0,70.34,0,0,0,11.95,0,5.39,0,0,0,73.44,0,0,0,0,0,1.25,0,0,0,13.02,0,0,7.29,0,0
 48-58,0,0,0,1.29,0.43,22.87,0,0.5,10.64,0,0,0,48.7,0.45,0,0,6.9,9.79,11.79,0,1.74,1.39,67.48,0,0.98,0.38,0,0,0.51,0,0,0,14.6,0,0,30.35,0,0
 60-70,0,0,0,7.75,0,39.16,5.74,0,17.54,5.99,0,2.37,60.31,5.54,0,0.69,15.28,0,37.13,1.09,3.82,0.58,60.63,0,0,0,0,0,18.37,0,0,0,10.66,0,1,25.56,0.73,0
 72-82,0,0,0,7.99,2.64,28.45,1.5,0,6.31,3.47,0,2.43,71.24,0.53,0,0,8.08,0,47.09,1.23,13.42,2.17,37.78,0,0,1.92,0,3.84,10.57,0,0,0,6.71,2.13,1.33,41.59,0.51,3.98
 84-94,0,0,0,12.61,0,10.42,1.67,0,6.95,1.82,0,8.39,100.94,3.03,1.37,1.82,1.95,13.44,19.3,0,22.03,0.7,37.45,0,0,4.49,0,0.77,35.55,0,0,0,2.89,0,1.49,53.38,2.89,1.02
 96-106,0,0,0,27.06,0.68,28.7,4.83,0,27.67,0,0,6.31,106.64,4.88,0,0,25.73,0,33.95,0,14.44,3.1,37.94,0,0,0.91,0,1.57,127.25,0,0,0,0,4.4,0,27.77,4.19,1.13
108-118,0,0,0,19.36,3.23,34.07,6.77,0,18.76,3.25,0,6.21,75.3,5.33,1.69,0.76,9.25,3.39,40.5,0.53,15.12,2.33,69.45,0,0.48,0,0,0.91,99.64,0,0,0,4.57,2.84,0.53,57,1.85,6.96
120,0,0,0,22.63,1.3,0,9.28,0,8.33,0,0,13.51,124.81,12.4,13.8,2.12,4.5,0,59.66,1.56,8.44,0,81.29,3.25,1.26,4.9,0,0,133.49,1.53,0,0,0,7.62,0,30.56,0,0
