stage,endocrine.pancreas,eye,hatching.gland,mesenchyme,neural,olfactory,otic,spinal.cord
 48-58,0,0,2.55,0,0.75,0,0,0
 60-70,0,0,0,0,1.41,0,0,1.2
 72-82,0,0,0,1,0,0,0,0
 96-106,0,1.86,0,0,0,0,0,0
108-118,1.07,0,0,0,1.78,0,4.85,0
120,0,0,0,0,0,7.23,0,0
