stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,100.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.61,0,0,0,0,0,0,0,0,0,0,14.16,0,0,3.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.98,0,0,0,0,0,0,0,0,37.93,0,0,8.37,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0.85,0,1.01,0,0,0
 24-34,0,0,0,0,0.79,0,0,0,0,0,3.12,0,0,26.21,0,0,0,0.63,0,0,0.79,0.89,3.92,0
 36-46,0,0,0,0,1.05,0,0,0,0,0,0.62,0,0,27.68,0,0,0,0,0,1.67,0,1.54,0,0
 48-58,0,0,0,0,13.47,0.46,1.19,0,0,0,0.71,0,0,11.26,0,10.97,0,5.38,0,0,0,0,0,0
 60-70,0,0,0,0,7.37,0,8.24,1.27,0,2.21,0.6,0,0.74,16.65,0,0,0,0,0,0,0,7.66,0,0
 72-82,0,0,0,0,0.63,0,0,0,0,0,1.75,0,0.64,2.02,0,0,0,0,0,0,0,1.5,0,0
 84-94,0,0,0,0,2.18,0,0,0,0,0,0.92,0,0,0.6,0,0,0,0,0,0,0,0,1.68,0
 96-106,0,0,0,0,0.85,0,0,0,0,0,1.13,0,0,2.43,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.9,0,0,0,0,0,0,0,0,1.08,0,0,0,1.3,0,0,0,0,0,1.1
120,0,0,0,1.01,8.08,0,0,0,2.63,0,5.32,2.22,0,0,3.89,0,0,0,0,0,0,0,0,0
