stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,15.87,103.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.75,127.01,0,0,0,0,0,0,0,0,0,24.34,0,0,0,0,0,7.38,0,6.9,7.85,0,0,0,0
  7-9,8.56,4.72,0,5.34,0,0,10.43,0,0,0,0,18.16,0,0,0,0,0,149.4,0,44.3,0,0,0,0,0
 10-12,0,3.34,0,0,0,0,21.28,0,0,0,0,0,0,0,0,0,0,137.68,0,117.63,0,0,0,0,0
 14-21,0,0,1.09,0,0,0,1.8,0,0,0,0,0,0,0,0,0,1.02,4.55,0,0,0,1.16,1.87,2.46,0
 24-34,0,0,0,0.6,2.95,0,5.26,1.87,0,0,0,0,0,0,7.96,0,0.6,38.27,0,0,1.15,0,0,0.79,0
 36-46,0,0,0,0,0,0,3.25,4.13,0,3.18,0,0,0,0,7.54,0,0,61.91,0.63,0,23.42,0,0,3.67,0
 48-58,0,0,0,0,5.63,0,12.71,0,0.42,0.48,0,0,0,0,0.61,0,0,26.32,0,0,0,0,0,4.02,4.89
 60-70,0,0,0,0,2.07,0,22.01,0,0.77,27.09,1.58,0,0,0,24.39,0,0,46.25,0,0,8.9,0,0,0,0
 72-82,0,0,0,0,1.52,2.25,4.2,0,0,1.36,0,0,0,0,2.48,2.24,0.59,5.11,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.91,0,1.82,0,3.19,0,0.76,0,0,3.4,1.52,0,0,11.38,0,0,5.12,0,0,2.42,0
 96-106,0,0,0,0,0,0,8.34,0,0,1.55,0,0,0,0,4.44,0,0,4.02,0,0,1.72,0,0,0,0.64
108-118,0,0,0,0,0,0,5.86,1.33,0,1.8,0,0,0,0,5.88,0,0,4.74,0,0,0,0,0,0,0
120,0,0,0,0,3.56,0,0,0,0,0,0,0,4.91,0,22.72,0,0,26.88,0,0,4.45,0,0,8.31,0
