stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,147.95,106.01,0,10.49,0,0,0,0,0,0,0,0,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.53,0,0,0,0,0,0,0,0,112.45,0,0,0,0,0,0,9.68,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.9,0,0,18.56,0,0,0,0,0,20.04,0,0,0,0,0,0,38.89,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,34.05,17.86,0,0,0,0,0,0,2.61,0,0,0,1.15,13.75,0,1.05,13.51,0,0,1.67,0,0,2.46,0.98,0,3.42,10.52,16.07,0,0,0,0,0
 24-34,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.47,0,1.04,0,0,0,0,0,0,11.61,1.04,229.32,0,0,2.49,0,0
 36-46,0,0,0,0,2.73,0,13.93,0,0,0,0,0,0,0,0,0.85,4.66,0,0.58,189.84,0,1.22,0,0,0,2.31,0,0,1.48,0,298.09,0,0,0,0,0
 48-58,0,0,0,0,0,0,47.34,0,0,0,0,0,0,0,0,0,2.36,0,0,200.55,0,0,0,0,0,0,0,0,1.31,0,176.67,0,0,0,0,0.98
 60-70,0,0,0.86,0,3.01,0,589.26,6.85,0,0,0.81,1.23,0,0,0,0,3.93,0,2.11,313.61,0,0,0,0,0,0,0,1.82,0.65,0,115.21,0,0,0,0,0
 72-82,0,0,0,0,4.84,0,1474.03,0,0.91,0,18.02,0,0,0,0,0,9.51,0,0.56,463.48,7.76,0,0,0,0,0,0,0,0,0,56.54,0.94,0,1,1.45,0
 84-94,0,0,0,0,4.77,2.28,1262.82,7.4,0.71,0,9.06,2.09,0,0,0.68,0,10.22,0,0,303.53,0,0,0,0,0.79,1.53,0,0,1.33,0,64.25,1.14,1.08,0.8,1.54,0
 96-106,0,0,0,0,1.3,1.23,1702.01,0.73,1.32,1.88,26.87,0,0,1.67,0,0.63,21.75,2.09,0,290.77,0,0,1.78,0,1.51,2.77,0,0,0,0,12.28,0,0,5.08,0.62,0
108-118,0,0,0,0,7.95,2.42,1551.18,2.11,0,0.48,25.99,0.61,0,1.42,0,0,6.55,0,0,412.86,0,0,0,0,0,0,0,4.95,0.97,0,16.05,0.71,0,0,0.49,0
120,0,0,3.73,0,8.32,3.93,1134.75,0,5.79,0,76.76,0,0,0,0,0,13.61,0,0,376.37,1.77,0,0,0,0,0,0,0,0,0,79.79,0,0,0,0,0
