stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,191.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.23,0,0,0,0,0,0
  5-6,84.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.33,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,66.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,14.59,0,0,0,0,0,0,0
 14-21,0,2.49,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,1.05,0,0,13.76,0,0,0,0,0,1.91,1.17,8.56,0,0,0
 24-34,0,2.68,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,7.37,0,3.83,99.65,0,0.97,0,0,0.96,0,0,12.64,0,0.65,0
 36-46,0,1.96,0,0.66,0,7.47,0,0,0,4.45,0,0,0,0,0,0,2.52,0,0.66,181.77,0,0,0,0,0,0,0,32.83,0,0,0
 48-58,0,2.39,0,1.05,0,22.87,0,0,0,9.83,0,0,0,0,0,0,2.08,0,0,378.06,0,0,0,0,0,0,0,67.89,0,0,5.72
 60-70,0,0.91,0,1.84,0,141.32,0,6.25,9.29,12.45,0,1.38,0,0,0,0,17.95,0,0,790.39,0,0,0,0,0,0,0,144.62,0,1.96,0
 72-82,0,2.83,0,3.41,0,325.14,0,0,4.29,37.71,0.74,0,2.57,0,0,0,20.53,0,2.65,1055.17,0,0,1.89,0,2.2,0,0,124.17,1,2.46,0
 84-94,0,2.12,0,3.66,0,275.31,0,0.56,0,21.22,0,1.4,0,0,0,0,14.42,0,0.85,795.2,2.33,2.7,0.66,0,0,0,0,95.78,0,0,0
 96-106,0,0.56,0,11.8,0,353.09,0,0,12.31,58.05,1.38,0.88,0,9.11,0.95,1.81,39.82,0,0,933.53,0,0,5.31,0,1.66,0,0,75.08,0,0,0
108-118,0,3.86,0,10.35,0,496.97,0.77,6.07,4.03,60.34,0,0,0,0,0,0,26.24,0,5.53,1128.43,0,1.07,2.17,0,0.79,0,0,87.7,1.16,0.56,0
120,0,1.73,0,5.76,9.93,772.41,0,4.99,16.14,238.15,0,11.83,4.66,1.4,0,0,106.36,13.3,5.52,2498.64,0,2,0,0,4.2,0,0,105.44,0,27,0
