stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,446.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.41,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.27,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,21.98,7.59,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,0,9.83,22.47,2.24,0,0,1.26,0,0,0,0,0,137.61,0,0,125.35,78.08,0,0,0,0,0,0,0.9,3.19,5.61,0,1.92,41.9,0,0,0,0,0
 24-34,0,0,0.66,0,10.16,0,7.92,0,0,10.24,0,5.14,0,0,0,115.73,0,0,13.12,332.95,0,1.76,1.69,0,0,0,0,0,1.65,0,0,62.58,0,0,1.74,0,0
 36-46,0,0,0,0,0.71,0,16.39,0,0.57,2.95,1.25,0,0,0,0,87.56,0,13.37,13.86,863.79,0,3.26,0,0,0,7.69,0,0,1.24,0,0,54.98,0,1.37,2.75,0,0
 48-58,0,0,0,0,3.78,1.97,44.29,0,0.43,11.95,1.42,0,0,4.49,0,82.28,0,2.18,6.3,1544.54,0,5.38,0.52,0,0,0,0,0,1.5,0.48,0,128.58,0,0.61,1.64,0,3.07
 60-70,0,0,1.1,0,6.17,0,107.37,0,0,27.04,2.71,0,0,0,0,96.24,1.01,4.45,4.06,2350.81,0,1.77,1.49,0,0,0,0,0,0,0,0,183.81,0,0.69,1.93,0,0
 72-82,0,0,0.5,0,8.65,0,176.24,0.8,4.83,44.31,0.79,0,0.66,0,2.72,127.54,0,21.51,4.39,2350.99,0,4.56,0,0,2.01,0.77,0,0,1,0,0,154.43,0,4.21,15.15,2.46,3.85
 84-94,0,0,0,0,5,4.22,128.86,0,0,14.37,0,0,0,1.63,0,48.39,0,13.88,3.27,1400.84,0,0,0,0,3.67,0,0,0,0.62,0,0,99.94,0,0.59,7.09,3.1,0
 96-106,0,0,0.61,0,11.72,0,141.97,0,4.95,11.04,1,2,0.66,0.75,9.42,38.39,1.22,0,3.66,1222.69,0,1.07,0.57,0,0.83,0,0,0,0.82,0,0,83.17,7.94,0,8.79,8.19,10.31
108-118,0,0,0,0,10.18,0,102.76,3.5,2.41,21.14,0,0,0,0,8.19,27.06,0,0.57,3.74,1248.9,0,7.28,5.24,0,3.19,0,0,0,2.72,0,0,45.75,0,1.88,7.63,1.27,0
120,0,0,0,0,12.88,0,160.45,2.06,0,15.1,0,6.72,0,0,5.48,92.32,0,8.52,0,1412.27,0,19.01,0,0,7.36,1.2,0,0,0,0,0,118.59,0,0,33.11,3.93,0
