stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,16.67,0,0,0,0,0,25.23,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,10.15,517.72,0,8.92,0,0,0,0,0.95,0,0,23.58,221.4,0,0,0,0,0
 24-34,0,5.81,0,16.2,0.66,0,62.85,0,1.45,0,2.87,0,0,0,1.67,0,0,0,9.04,0,5.56,0.61,0,17.24,5603.56,0,86.34,0.64,0,0,4.57,0,2.06,0,0,1044.46,0,0,4.66,0,0
 36-46,0,0,0,14.76,0,0,884.65,1.38,0,0,24.83,0,0,1.59,4.45,0.68,1.66,0,0,5.61,17.41,0,0,5.06,15720.48,11.21,72.41,3.28,0,0,21.79,0,0.63,2.14,0,2904.02,0,0,0.63,0,6.22
 48-58,0,0.42,0,45.89,1.09,0,3025.91,0,6.38,1.77,187.05,0,0,1.23,2.33,0.39,0.95,0,3.71,3.2,65.05,2.57,0.79,28.17,25430.47,6.89,104.84,1.16,0,0.39,10.83,0,0,0.98,0,4426.52,0,0,3.79,0,24.17
 60-70,0,2.27,0,16.74,13.02,0,3052.08,2.2,3.43,0.86,139.84,5.57,4.48,1.7,4.07,0,0,3.56,2.6,23.7,112.58,1.1,0,2.7,23738.1,0.65,97.92,1.95,0,1.08,32.82,0,3.07,0,0,3564.65,0,1.77,11.27,0,18.19
 72-82,0,10.85,0,64.98,5.58,0,2843.35,0.59,1.26,1.89,177.59,7.96,0,4.59,9.76,0,9.22,1.38,3.08,11.61,119.44,9.11,8.99,5.05,24125.82,4.45,70.59,0.69,0,0,20.59,0,0,0,0,3517.6,0,3.44,20.39,4.21,10.31
 84-94,0,3.15,0,114.9,7.84,0,2683.48,1.7,0,0,159.61,2.52,0,0,4.72,0,19.54,1.55,3.24,10.89,122.47,0,14.28,7.08,15196.74,0.91,94.58,6.12,0,0,29.34,0,0,3.08,0,1990.13,7.55,1.51,19.46,9.52,0
 96-106,0,12.92,0,107.08,38.71,4.35,2140.31,2.48,4.42,14.1,250.76,10.82,0,6.13,14.1,1.33,10.74,0.62,48.07,0,102.26,0,6.62,5.26,13801.85,0.65,99.1,3.65,0,0,36.05,0,0.74,0,0,1167.5,0,0,8.28,4.69,10.12
108-118,0,10.53,0.59,96.66,6.56,5.51,2174,3.04,6.78,3.45,143.82,11.3,0,0,4.51,0.57,11.54,0,10.94,0,68.71,3.41,0,7.15,15170.39,0.59,94.3,1.88,0,7.03,9.03,0,0,0,0,811.55,2.91,4.24,21.11,0,15.91
120,0,0,0,75.89,15.94,1.6,1600.45,0,19.35,12.79,144.89,2.12,0,4.47,25.7,5.49,9.35,0,8.08,0,126.4,0,13.08,17.46,15908.27,9.42,70.59,14.75,0,0,1.83,0,2.43,0,0,733.73,1.37,2.71,22.04,0,16.56
