stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,100.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.84,0,0,0,0,0,0,0,0
  5-6,0,112.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.78,0,0,0,0,0,0,0,0
  7-9,8.42,5.83,0,0,0,18.21,0,0,0,0,0,0,0,0,0,0,0,0,77.99,0,0,12.58,73.02,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.67,3.05,0,16.81,7.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.7,0,0,0,0,0,0,0,0.9,8.12,0,0,0.97,0,0,8.61,0,0,0,77.49,3.61,0,1.39,0,0,0,0,0
 24-34,0,0,0,2.26,0,0,0,0,0,2.04,0,2.69,6.52,0,2.43,1.09,0,9.11,44.52,0.59,0,0,150.06,0,0,4.44,0,0,0,0,0
 36-46,0,0,0,0,0,3.59,0,0.94,0,0,0,8.67,6.8,0,3.42,0,0,0.91,17.88,0,0,0,126.12,0,0,0.59,0,0,0.91,0,1.41
 48-58,0,0,0,0.98,0,2.29,0,0.93,3.41,0,0,0,0,1.32,6.86,0.87,0.5,0.58,9.12,0,0,0,18.53,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.57,0,3.37,0,0,0,0,0,0,2.29,0,0,1.45,1.55,0,0,0,22.06,0,0,0,0,0,0,0,0
 72-82,0,0,0.69,1.07,0,1.29,0,0.7,0,0,0,0,0,0,3.91,2.4,0,0,3.09,0,0.74,0,5.16,0,0.5,0,0,0,0,0.7,3.4
 84-94,0,0,0,2.78,0,3.74,0.63,3.08,1.8,0,0,0,6.68,1.76,1.26,1.01,0,0.66,5.09,0,0,0,13.32,0,0,0,0.71,1.13,0,0,0
 96-106,0,0,0,1.17,0,6.08,0,4.57,2.44,0,0.62,0,5.05,0,6.28,1.13,0,0,1.82,0,0.57,0,4.63,0,0,0,0,0,0,0,7.38
108-118,0,0,0,0,1.94,4.15,0,1.53,5.04,0,0,1.22,0.84,1.12,1.41,2.65,0,0,11.7,0,0,0,1.13,0,1.75,0,0,0,0,0,0
120,0,0,0,2.28,0,0,0,0,5.17,0,0,0,0,1.64,4.17,0,0,0,5.77,0,0,0,1.33,0,0,0,0,0,0,0,0
