stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,17.5,77.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,21.69,0,0,0,0,0,0,0,0,0,0,0,0,92.72,5.47,0,0,14.77,0,0,8.66,0,0,0,0,0,0
 10-12,0,3.64,3.04,0,0,18,0,0,0,0,0,0,0,0,0,56.12,0,0,0,29.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.85,0,0,0,0,0,0,1.35,0,1.7,11.97,0,0,0,0,0,0,0,1.11,0,1.07,1.86,0,0
 24-34,0,0,0,1.79,0,1.56,0,0,0,0,0,0,4.2,0,0,36.26,0.83,0.79,0,0,0,2.19,0,0,0,1.53,4.15,0,0
 36-46,0,0,0,1.91,0,8.59,0.69,0,1.81,0,0,0,1.37,0,0,30.49,0,0,0,0,0,9.59,0,0,0,0,7.53,1.83,0
 48-58,0,0,0,0,0,11.37,0,0,2.58,0,0,0,0,0,0.42,57.73,0,0,0,0,0,0.37,0,0,0,0,7.72,0,0
 60-70,0,0,0,0,0,11.66,0,1.24,2.97,0,0,0,2.34,0,0,29.36,0,0,0,0,0,0,0,0,0,0,10.62,1.49,0
 72-82,0,0,0,1.19,1.16,13.91,0,0,1.54,0,0,0.6,6.68,0,0.78,23.88,0,0,0,0,0.71,0,0,0,0,0,3.32,1.53,0
 84-94,0,0,0,2.09,0,10.35,0,0,0,0,0,0,4.59,0,0,10.15,0,0,0,0,0,6.72,0,0,0,0,2.48,4.93,0
 96-106,0,0,0,9.1,1.52,27.3,0,0,0.71,0,0.71,0.59,3.27,0.62,0,22.46,0,1.84,0,0,0,2.38,0,0,0,0,0,0,0
108-118,0,0,0,0,0,18.02,0,0,2.56,0.86,0,0,7.47,0,0,34.02,0.67,0,0,0,0,2.1,0,0,1.24,0,0,0,0
120,0,0,0,2.16,7.95,21.82,0,0,10.42,0,0,0,3.64,0,0,9.7,0,0,5.47,0,0,3.16,0,1.12,0,0,0,4.05,3.77
