stage,blastomeres,epidermis,erythrocytes,eye,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,32.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.1,0,0,0,0,0,0,0,22.48,0,0,68.11,0,0,0,0
 14-21,0,0,342.59,0,1.92,8.19,0,0,0,2.47,10.13,0,0,0,0,0,90.46,0
 24-34,0,0,33.87,1.61,9.34,24.13,0,0,0,0,18.31,1.32,0.63,0,0,0,519.41,0
 36-46,0,0,10.65,0.92,7.92,32.34,0,0,1.88,0,12.55,0,2.5,0,1.3,0,323.5,0
 48-58,0,0,0.9,2.15,7.37,26.09,0,0,0,0,26.57,0,0,0,3.4,0,256.27,0
 60-70,0,0,0,0,7.02,47.59,0,0,2.02,4.27,5.28,0,0,0,0,0,218.96,0
 72-82,0,0,0,0.64,13.58,41.85,0.53,0,4.75,0,7.8,0,0,0,0,0.56,318.05,0
 84-94,0,0.59,2.24,2.2,8.66,49.9,0,0,3.45,0,2.36,0,0,0,0,0.63,246.58,0
 96-106,0,0.8,12.91,2.28,13.01,74.07,0,0,3.66,1.51,3.11,0,0,0,0,0,276.22,0
108-118,0,1.43,5.15,2.19,5.86,62.44,0,1.81,5.29,0,5.15,0,0.42,0.42,0,0,195.06,1.47
120,0,0,3.52,6.72,5.73,157.92,0,0,0,0,23.84,0,3.03,0,0,0,287.52,0
