stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,4.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.14,0,0,9.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,223.69,15.52,0,0,0.87,0,8.76,31,0,0,0,0,0,13.34,2.3,0,9.16,57.5,62.56,0,95.19,0,113.34,2.36,8.7,46.24,244.61,0,0,0,0
 24-34,0,0,111.35,0,2.02,0,30.77,8.62,20.51,16.25,0,0,0,0,2.29,27.18,0,0,31.72,39.13,36.58,0,0,0,2.17,0,1.52,85.08,154.1,0,2.45,0,0
 36-46,0,0,2.21,0,0.67,0.66,24.72,12.32,10.01,10.17,0,0,0,0,3.5,46.09,0,0,37.25,31.89,2.8,0,0,0,0,0,9.37,0,176.63,0,20.39,0,2.97
 48-58,0,0,14.07,0,1.72,1.45,23.34,27.35,10.47,2.91,0,0,5.71,1.31,5.2,84.08,0,0.88,25.77,59.58,3.29,1.16,0,0,0,0,0.46,0,194.88,0,1.01,0,9.25
 60-70,0,0,0,0,1.37,0,7.14,26.85,17.18,5.75,0,0,0,0,0.73,89.83,0,1.7,5.52,10.8,0,0,0,0,0,0,2.91,0,165.5,0,2.74,1.92,11.47
 72-82,0,0.88,2.84,0,12.81,0,28.69,46.52,43.22,5.08,0,0,0,0,4.72,145.08,0,5.51,20.29,20.48,0.73,0,0,0,0,0,0,0,117.98,0.85,3.47,3.65,13.35
 84-94,0,0,4.34,0,19.84,0,12.74,54.32,45.54,14.27,0,0.71,0,0,7.18,118.02,0,7.59,10.59,10.82,0.85,0,0,0,0,4.19,0.62,0,85.11,0,12.21,2.16,11.39
 96-106,0,2.52,1.47,0,0.91,2.06,11.5,20.64,11.97,8.82,0,1.84,0,0,1.94,113.87,0,6.46,8.53,25.4,1.85,0,0,0,0,0,0.83,0,31.74,0,7.4,3.94,1.09
108-118,0,1.11,1.68,0,3.38,0,7.28,18.96,23.04,10.13,0.82,0,0,0,4,87.12,0,9.39,7.59,31.07,0,2.63,0,1,0,0,0,0,45.01,0,11.09,3.65,3.56
120,0,0,2.52,0,0,0,5.18,22.93,15.23,13.07,0,0,0,0,0,69.33,0,16.05,1.9,2.68,0,0,0,1.21,0,0,0,0,20.96,0,7.86,0,37.97
