stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0,0
 10-12,3.65,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.56,9.7,0,1,0.93,0,6.53,0,0
 24-34,0,0,0,0.6,0,0,2.63,0,0,0,0,1.38,0,0,0,0,5.17,1.5,0
 36-46,0,0,0,0,0,1.06,0.84,0,0,0,0,0,0,0.76,0,0,2.02,0,0
 48-58,0,0,1.03,0.39,0,0,4.35,0,0,0,0,1.84,0,0,0,0.56,0.67,0,0
 60-70,0,0,0,0,1.41,0,0,0,0,0,0,5.59,0,0,0,0,6.99,0,0
 72-82,0,0,0,1.78,0,0,7.43,0,0,2.84,0,5.18,0,0,0,0.65,0,1.56,0
 84-94,0,0,0,6.47,0,0,9.01,0,0,0,0,1.64,0,0,0,0,0,0,0
 96-106,0,0.74,0,1.03,0,0,0,0,0,0.72,0,0,0,0,0,0,2.31,0,0.76
108-118,0,0,0,3.06,1.58,0,8,0,0.63,2.33,0,5.92,0,0,0,0,5.17,0,0
120,0,0,0,0,0,0,16.45,7.69,0,4.25,0,0,1.17,0,0,0,0,0,0
