stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.96,748.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,0,0,0,0,0,0,0,0,0
  5-6,0,125.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.76,0,23.17,0,0,0,0,1.73,0.9,0,0,0.89,0,0,0,0
 24-34,0,0,14.39,0,0,0.82,0,1.94,0,0,0,0,0,0,0,0,0,0,2.24,0,0,3.2,1960.64,0,58.29,0.73,0,2.88,0,0,0,0,4.03,10.63,0,0,0,0
 36-46,0,0,1.1,0,0,3.01,0,0,0.56,2.22,0,0,0,0,0,0,0,2.48,7.02,0,0,0.7,3290.36,0,40.68,0,0,2.54,0.81,0,0,0,0,7.4,0,0,3.62,0
 48-58,0,0,12.47,0,0,94.66,0,9.87,8.71,27.96,0,0,6.57,0.48,0,0,0,11.19,15.23,0,0,5.98,4986.05,0,9.18,0,0,2.45,0,0,0,0,0,77.21,0,0,0,9.63
 60-70,0,0,0.68,2.56,0,218.3,0,1.4,9.06,17.95,0,0.71,0,0,0,13.95,1.77,7.36,25.65,0,2.54,0.8,8597.64,0,6.51,0,1.08,14.86,0,0,0,0,0,267.32,0,1,15.18,9.18
 72-82,0,0,28.03,1.51,0,281.1,0,3.89,0,36.35,0,2.25,1.62,0,3.58,0,0,0,46.96,2.55,5.5,5.48,4801.1,0,3.11,0.8,1.4,8.96,0,0,3.55,0,0,253.86,2.38,0.85,11.12,16.8
 84-94,0,0,24.74,4.67,0,294.09,0,10.98,0,40.12,1.31,0,4.71,1.61,0,0,0,0.86,37.46,0,6.88,1.38,2928.9,0,4.79,0.81,0,10.46,0,0,0,0.69,0,161.27,0,1.8,0,5.82
 96-106,0,0,14.25,23.62,0,173.45,0.77,1.87,1.25,30.04,0,0,0.76,0,11.18,0.77,0.67,0,35.86,0.71,0,3.19,2135.57,0.62,11.68,1.57,0,11.16,0,0,1.11,0,0,94.71,0,0,0,7.18
108-118,0,0,41.93,9.16,2.51,94.54,1.75,0.41,0.62,27.89,0,0,0,0.91,0.65,0,2.14,0.95,25.4,0,1.05,2.03,2639.18,0,3.28,0,0,6.29,0,0,0,0,0,89.31,0,0,1.18,2.44
120,0,0,23.89,1.88,1.8,254.87,1.44,0,0,50.37,0,0,8.37,0,3.12,0,0,0,64.25,0,4.29,3.67,3609.22,0,0,0,22.69,1.43,0,0,0,0,0,68.76,0,0,9.02,0
