stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.51,149.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,11.86,0,0,0,0,54.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.94,7,0,0,41.16,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.76,5.22,0,0,0,65.72,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,552.33,52.16,0,0,110.94,0,3.81,0,0,0,4.75,0,0,0,0,0,0
 14-21,0,0,5.62,212.28,51.49,0,11.87,0,1.16,0,2.07,11.6,0,33.25,0,0,0,3.48,0,0,86.08,0,0,43.27,98.03,74.83,0,0.94,1.24,0,0,13.41,2.55,54.62,44.64,22.83,0,0,12.47,0,0
 24-34,0,0,4.61,94.7,13.21,0,4.06,26.45,0,0.67,5.64,0.89,0,66.83,0,0,0,5.66,0,0,98.03,1.24,4.55,37.36,138.71,82.48,0,0,0,0,15.22,2.71,10.63,24.64,28.24,37.39,0,0,139.79,0,1.91
 36-46,0,0,0,43.41,0,0,9.37,56.93,5.6,2.19,50.73,0.58,0,63.92,18.03,0,3.71,9.46,21.63,0,73.44,0,6.01,33.02,104.44,46.59,0.6,0.61,0,4.59,2.55,0,7.61,3.52,0.67,44.69,0,4.43,135.2,1.55,0
 48-58,0,0,0,19.56,3.11,0,25.66,54.72,0,4.84,64.76,1.86,0,44.24,4.19,0,0.84,1.91,3.2,0,164.48,0,23.87,18.87,151.59,25.24,0.38,0.91,0,1.94,1.4,0,0.74,1.17,0,41.46,0,5.31,161.31,1.78,1.66
 60-70,0,0,0,24.76,10.02,0,24.2,17.39,9.22,4.62,72.11,12.71,0,35.73,6.71,0,5.11,5.7,5.7,6.77,363.61,2.41,48.46,15.83,68.3,40.61,0,0,0,5.6,1.4,0,0,3.24,0,27.49,0,32.9,104.64,23.47,7.05
 72-82,0,0,0,18.46,10.09,0,35.34,23.59,0,9.73,120.84,8.34,0,51.91,0,0.76,0.93,3.86,31.13,0,540.53,0,50.17,25.11,87.96,3.83,2.46,0.82,0,7.34,0,0,1.71,1.22,0,23.55,2.98,25.25,188.15,89.32,2.17
 84-94,0,0,0,13.45,0,0.87,53.6,12.5,0.66,1.78,79.24,20.34,0,42.11,0,0.92,1.36,5.17,22.9,5.6,437.36,1.34,92.17,15.68,109.18,1.11,8.03,1.64,0,8.28,16.82,0,0.94,1.18,0,34.86,0,42.76,169.88,112.83,0
 96-106,0,0,0,4.72,15.33,0.89,47.75,18.23,6.79,5.95,42.15,11.33,0,63.99,1.01,0,0.77,13.54,34.03,0,334.52,0,30.76,14.42,68.88,1.66,0,6.32,0,10.08,3.58,0,5.9,1.17,0,20.39,0,32.29,156.71,132.25,0
108-118,0,0,0,24.01,0.85,0.6,33.02,11.03,1.59,0,61.03,14.05,0,28.95,0.97,0,2.84,3.24,56.73,0,407.44,0,30.32,21.54,74.43,12.33,0.47,1.49,0,20.8,0.52,0,0.44,5.48,0,4.72,0,33.19,135.8,65.77,0
120,0,0,0,21,8.87,0,30.69,14.44,0,0,63.62,8.98,0,38.39,11.98,0,0,0,86.48,0,281.03,0,28.43,34.63,69.52,6.42,0,4.41,0,8.06,0,0,5.18,11.69,0,12.4,0,49.97,171.25,124.04,0
