stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.62,654.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0
  5-6,34.9,226.35,0,6.55,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,3.22,0,0,7.17,0,0,21.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.56,43.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.51,0,0,0,0,0,0,0.92,7.73,0,0,0,0,0,3.13,0,0,0,0,8.17,54.65,0,0,0,0,0,0,0,11.21,0,0,1.76,0,0
 24-34,0,0,0,0.87,0.69,0,0,0,0,0,0,0,3.39,0.98,0,0.7,0,2.7,0,0,1.78,0,0,7.27,1.62,1.68,0,0,0,0,0,5.91,3.56,0,0,2,0,0
 36-46,0,0,0,0,0,0,0,0.76,0,0,0,2.43,2.96,0,0,6.23,16.73,0,1.44,2.92,3.3,0,0,8.36,1.21,6.18,12.71,0,0,0,0,0.59,2.28,0,0,5.86,0,0
 48-58,0,0,0,0,0,0,0,19.2,0,3.45,0.74,0,3.45,0,2.13,0,0.89,0,3.31,0.63,3.77,0,0,8.2,1.24,0,2.71,0,0,0,0,0.52,4.32,0,0,1.23,0,0
 60-70,0,0,0.82,0,0,0,0,187.43,0,0,1.19,6.01,3.46,0,1.96,0,5.5,1.63,2.76,0.63,8.69,1.32,0,14.28,3.71,2.66,5.24,0,0,5.04,0,2.53,7.87,0,0,2.01,0,5.92
 72-82,0,0,7.37,0,2.3,0,0,359.95,0,3.99,2.62,21.07,0,0,6.12,0,8.97,5.88,6.36,5.79,5,0,0,55.57,0,1.12,6.65,0,5.53,0,0,5.19,0,1.48,2.29,0,5.63,0
 84-94,0,0,4.38,0,2.29,0,0,426.11,0,0,0.85,28.7,1.9,0,8.13,0,6.61,10.2,3.82,6.71,12.2,0,0,17.99,0,8.71,25.23,0,0,8.68,0,7.54,1.08,5.35,1.5,0.57,3.08,0
 96-106,0,0,6.46,0,3.09,5.89,0,357.98,1.32,0,4.48,40.85,0,0,5.34,0,8.24,15.11,6.23,5.07,11.63,1.37,1.03,41.93,4.11,1.24,48.83,0,1.04,0.6,0,7.12,0.67,3.97,1.54,2.53,12.69,10.8
108-118,0,0,3.72,0,19.45,0,1.17,351.8,0,4.12,7.27,54.08,0,1.27,6.43,1.23,35.72,11.55,27.11,7.23,5.48,2.84,0.43,69.72,0,3.48,31.86,0,0,1.48,0,6.3,6.25,3.45,4.14,10.41,2.62,5.93
120,0,0,0,0,14.42,1.56,0,398.85,0,0,0,37.56,0,0,2.95,0,18.9,11.17,15.35,0,12.81,0,5.56,83.28,0,6.52,46.64,0,0,0,0,6.78,12.54,12.45,0,3.25,0,0
