stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0
 24-34,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,4.6,0,0,0,0,0,0,0,0,0.62,1.48,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.67,0,5.06,0,0,0,0,0,0,0,0,0,33.22,0,0,0,0,53.97,0,1.09,0,0,8.75,0,0,0,0,2.51,0,0,0,0,0
 48-58,0,0,0,0,0,0,245.13,0,0,0.39,0,0,0,0,0,0,0,0,0,0.7,0,0,0,14.81,0,0,0,0,5.67,0,0,0,0,2.81,0,0,0,0,0
 60-70,0,0,0,28.21,0,0,26647.76,1.88,8.74,8.11,34.56,1.27,0,0.82,0,0,0,0,0,52.87,0,0.81,6.78,202.09,0,0,1.01,2.16,69,0,1.82,0,0,22.27,0,7.98,12.35,0,8.91
 72-82,0,4.03,1.12,560.51,231.22,4.29,129126.62,38.53,49.05,63.46,456.55,22.86,9.28,44.03,8.93,16.77,13.89,34.06,48.09,729.14,12.88,33.27,63.62,2430.45,4.18,40.82,41.45,5.56,148.5,0,3.02,4.15,0,249.79,78.85,10.59,114.26,53.11,105.68
 84-94,0,7.14,0,862.58,124.1,13.81,160594.17,5.38,8.78,31.28,155.7,14.97,8.03,30.16,13.92,30.45,108.38,26.06,18.72,491.54,11.78,48.74,24.25,1317.62,22.06,10.99,28.25,6.12,146.64,0,7.64,11.17,0,204.95,10.42,7.38,35.26,23.17,47.27
 96-106,0,5,0,384.06,322.14,22.38,133069.9,46.24,30.11,18.04,350.73,40.04,8.77,43.45,14.51,187.01,14.84,141.74,2.09,743.25,11.18,43.37,78.87,2993.46,5.4,35.39,21.23,28.75,474.17,4.74,5.25,8.03,0,206.09,15.47,14.76,143.7,25.2,142.36
108-118,0,6,0,196.53,155.83,12.93,131552.71,6.85,44.45,49.95,454.73,84.11,5.66,31.9,12.83,24.7,6.9,91.66,11.69,947.11,27.03,32.25,94.04,4131.31,16.52,22.5,39.81,15.98,308.94,0,3.07,1.42,0,64.41,18.49,37.51,66.86,24.78,78.85
120,0,2.8,0,282.06,87.1,47.22,140161.91,13.89,18.72,21.3,438.49,25.68,26.72,63.58,17.54,20.34,2.26,86.09,0,705.89,35.12,48.62,93.5,3535.06,19.36,37.65,31.34,46.92,164.29,0,12.77,0,0,140.63,29.03,33.82,89.2,34.72,3.58
