stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,1037.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0
  5-6,57.98,1025.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.35,35.48,0,0,10.03,0,49.13,0,0,0,0,0,0,0,0,0,0
  7-9,27.92,49.57,0,45.45,0,0,108.81,0,0,0,0,0,40.83,0,0,0,0,0,0,0,0,0,898.62,19.13,0,0,361.32,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,55.27,0,5.97,100.67,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,0,724.3,27.91,0,0,328.5,0,0,28.53,0,33.01,5.96,0,0,0,0,0,0
 14-21,0,0,0,3.8,16.27,5.36,9.14,0,0,0,2.82,0,0,0,0,0.92,0,0.93,0,11.07,0,1.12,153.81,5.06,0,0,2.01,0,11.67,0.91,17.28,0,10.82,50.74,0,0,0,0,0
 24-34,0,0,0,0,4.64,1.75,32.49,0,0,0,8.24,0,0,1.01,0,0.79,0.7,2.76,1.94,27.08,0.91,10.95,445.49,2.82,8.39,1.16,0,0,9.61,0,0,1,3.39,77.35,0,0,12.97,0,0
 36-46,0,0,0,0,0.57,1.47,127.49,0,0,0,16.51,0,0,0,0,0,0.74,0,0,33.23,0,5.28,344.17,0,0.6,0,0,0,5.67,0,0,3.08,0,51.16,0,0,0,0,0
 48-58,0,0,0,0,0,0,191.95,0,3.09,0.85,10.97,0,0,0,0,7.42,0,0,0,37.79,0.54,7.04,352.25,0,2.56,4.52,0,0,8.45,0,0,1.07,0,46.59,0,0,2.6,0,0
 60-70,0,0,0,0,11.3,0,219.17,0,0,0,14.74,0,0,0,0.9,0.64,0,0,0,23.57,1.4,1.75,284.81,0,2.6,0,0,0,4.2,0,0,2.82,0,40.52,0,0,1.67,0,0
 72-82,0,0,0,0,0.52,0.91,142.52,1.87,0,2.88,24.93,1.39,0,0,2.34,0,0.64,0,0,22.69,0.55,2.86,263.84,1.43,1.69,0,0,0,0.49,0,0,0,0,19.57,0.68,0,12.34,0,0
 84-94,0,0,0,0,1.99,0.79,153.71,0,0.6,1.72,8.6,0,0,0,0.97,0,0,6.45,0,7.61,1.56,0.77,166.48,0.76,0,2.25,0,0,4.06,0,0,0,0,17.09,0.62,0,0,0,0
 96-106,0,0,0.94,0,3.18,8.72,108.93,0,1.4,0,16.21,1.97,0,0,0,0,0,1.12,0,22.67,0,2.39,190.79,6.5,4.37,0.85,0,0,1.93,0,0,0.7,0,8.58,0,0,1.75,0,1.21
108-118,0,0,2.35,0,3.5,6.61,140.02,0,0.57,0,30.9,0.43,0,0,4.42,0,1.49,2.42,0,28.71,3.43,2.23,218.17,0,1.78,0,0,1.91,3.2,0,0,0,0,17.57,1.28,2.42,9.99,1.65,0
120,0,0,0,0,3.34,5.43,71.65,0,0,0,51.61,0,0,1.15,0,0,0,0,0,19.01,0,1.83,236.61,0,0,0,0,0,4.15,0,0,0,0,4.07,0,0,0,0,0
