stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,0,0,0,0,0,0,0,0,0,0
  5-6,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,6.18,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,35.57,0,0,0,3.99,0,0,0,0,0,0,0,0
 14-21,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,7.43,3.73,0,0,1.27,0,0,0,7.16,0,112.33,158.7,0,0,0,0,0,0
 24-34,0,5.16,0,0,4.54,381.52,0.66,0,0.87,0,0,1.92,0,0,0,0,0,0,21.76,0,0,106.2,132.8,0,0,0.78,0,0,14.4,0,0,184.76,367.62,15.12,0,0,4.47,0,0
 36-46,0,1.06,0,0,14.64,917.11,0,2.04,8.54,0,0,4.63,0,0,0,0,0,0,8.7,0.56,0,67.88,155.98,0.58,1.09,2.46,0,0,14.17,0,0,179.89,41.22,24.85,0,0,0,0,0
 48-58,0,18.65,0,0,107.45,754.89,0.51,0.43,22.58,1.42,0,0.38,8.16,0,0,0,1.92,5.8,25.59,0,4.62,43.53,236.95,4.6,1.8,0,0,0,10.16,0,0,131.27,0,52.44,0,0.64,8.3,0,12.32
 60-70,0,10.24,5.03,0,62.8,529.04,6.19,0.9,11.17,0,2,0,2.45,1.37,9.38,0,0,0,28.06,0,0,59.3,160.48,2.21,0,1.58,0.81,0,3.11,0,0,94.76,0,48.02,0,0,0.73,0,0
 72-82,0,3.74,17.25,0,102.58,274.93,1.14,7.47,5.23,0.63,0,0,2.75,0.7,0.93,0,0,0,31.45,1.59,11.1,26.9,172.18,0,0,0.54,0,0,3.14,0,0,44.81,0,21.51,0.51,0,7.34,1.24,5.14
 84-94,0,7.61,1.44,0,62.1,406.3,8.16,0,7.52,1.87,0,0,1.61,0,0,0.58,1.69,4.86,40.45,0,0,31.94,122.14,0.57,0,3.62,0,0,33.7,0,0,75.77,0,21.34,2.04,1.9,11.1,2.45,0
 96-106,0,9.69,45.75,1,206.11,675.16,3.35,0.64,29.08,6.61,0,0,1.9,6.88,1.03,2.54,16.36,0,61.23,0,0,32.96,235.19,2.23,4.81,0,0,1.44,49.55,0,0.78,57.38,0,2.47,0,5.33,4.96,3.7,18.71
108-118,0,8.04,4.61,0.45,103.8,568.25,3.16,5.86,12.03,0,0,0,11.51,0,5.16,1.68,5.67,0,28.08,0,1.96,77.32,167.63,1.7,0,2.73,0,2.43,15.66,0,0,56.1,0,4.59,0,0,10.38,2.7,20.03
120,0,4.75,0,0,26.01,405.55,0,0,48.23,0,0,0,0,2.42,0,0,11.33,0,71.21,1.47,0,27.95,163.07,1.32,0,2.92,0,0,0,3.36,0,40.96,0,10.28,0,0,10.86,0,0
