stage,epidermis,erythrocytes,gut,immune,ionocyte,mucous,neural,taste
 24-34,0,0,0,0,0,0.91,9.19,0
 36-46,0,13.46,0,0.73,13.46,0.66,2.47,0
 48-58,0,0,0,0,0,3.97,2.39,0
 60-70,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,1.07,0,0.66,0,0
 84-94,0,0,2.57,2.86,0,4.78,0,1.48
 96-106,3.15,0,6.4,11.39,0,5.79,0,7.08
108-118,6.48,0,8.42,3.97,0,4.58,1.64,12.92
120,3.26,0,3.28,6.76,0,2.79,0,6.04
