stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.98,87.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.15,0,25.76,0,0,0,35.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.74,0,5.91,0,0,0,61.07,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,247.86,0,0,0,23.2,4.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.84,1.13,0.96,0,1.63,0,0,0,4.36,0,0,0.92,0,0,0,0,0,4.19,0,0,2.26,36.82,3.69,0,0,0,0,0,2.45,39.01,0,1.02,17.23,0,0,1.24,0,3.62
 24-34,0,0,0,0,5.43,0,0,11.47,0,0,0,0.84,0,0,0,7.17,0,0,1.37,0,2.41,0,0,3.38,82.08,2.53,3.83,4.25,0,0,0,0,30.17,0,1.41,64.43,0,0,1.73,0,2.64
 36-46,0,0,1.51,0,0,10.51,0,39.73,0,0,0.87,24.32,0,0,2.26,0,0,0,3.72,0,0,0,0,5.08,164.96,0,20.86,8.3,0,1.67,0.81,0,19.17,0,0,127.1,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,25.01,0,0,1.1,41.12,0.91,0,0,1.45,0,0,4.34,0,10.04,0,0,1.22,271.92,0,30.75,16.48,0,0,0,0,2.98,0,0,82.44,0,0,7.8,0,3.56
 60-70,0,0,0.95,0,4.9,0,0,118.88,0,0,1.64,159.63,0.72,0,0.62,0.6,0,0,13.98,0,14.65,0,0,0,299.82,0,10.22,20.71,0,1.12,0,0,3.57,2.72,0,59.34,0,0,0.72,0,0
 72-82,0,0,1.77,0,3.42,0,0,276,0,0.5,2.18,355.67,0,0,0.58,0,0,0.65,16.27,5.06,28.25,0,0,3.02,540,0,36.43,41.12,0,0,0,0,6.82,0,0,101.31,2.22,0,12.41,0.77,1.39
 84-94,0,0,3.49,0,6.77,0,0,232.4,0,0,1.92,365.82,3.54,0,0,0.56,1.56,5.04,21.08,2.38,11.79,0,0,0,513.74,0,32.54,54.26,0,4.62,0,0,6.64,0,0,85.62,3.41,0,3.7,0,2.02
 96-106,0,0,7.92,0.58,11.96,7.75,0,350.63,0.64,0.75,2.85,372.07,4.76,0,3.71,4.66,1.23,0,46.07,5.48,11.77,1.07,0,1.52,613.57,0,32.46,61.67,0,5.71,0,0,26.92,0,0,47.43,4.84,0,8.46,2.57,5.18
108-118,0,0,10.85,2.39,4.59,0,0.65,578.09,0,0,2.02,816.82,0.91,0,0.78,3.5,0,1.59,32.82,3.73,33.29,0,0,1.94,979.53,0.62,30.06,85,0,1.12,0,0,19.85,0.43,0,88.01,5.22,1.54,14.36,0.97,6.82
120,0,0,6.64,1.28,13.7,1.3,0,864.11,0,0,0,1623.28,20.86,0,4.21,5.88,0,1.59,27.46,3.84,65.79,2.14,8.06,0,2694.19,7.14,157.32,209.07,0,8.73,0,0,22.73,0,0,120.14,32.64,0,42.1,2.54,0
