stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,251.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0
  5-6,48.73,693.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.34,0,0,0,13.26,0,0,0,0,0,0,0,0
  7-9,18.32,12.22,0,3.3,0,0,16.24,0,0,19.53,0,0,0,0,0,0,0,0,0,314.77,4.91,0,0,91.41,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.1,0,0,56.18,0,0,0,0,0,0,0,0,0,0,0,0,238.15,3.72,0,0,86.28,0,0,6.08,0,0,0,0,0
 14-21,0,0,0,0,10.62,0.92,4.08,3.29,0,0,0,0,0,0,0,0,4.34,0,4.02,96.73,1.74,0,0,1.88,3.87,13.23,0,9.59,23.17,0,2.02,0
 24-34,0,0,0,0,1.41,0,8.09,2.93,0,0,0.62,0,0,1.94,0,0.61,12.19,0,3.37,128.2,0,2.54,0,0,0.92,0,0,1.27,28.17,0,11.48,0
 36-46,0,0,0,0,0.58,0,19.53,3.84,0,0,0,0,0,0,0.77,0,8.05,0,0.56,92.08,0,1.9,1.16,0,2.21,0,0,0,21.76,0,0.6,0
 48-58,0,0,0,0,8.32,0,27.18,14.23,0,0,0,0,0,0,0,0,7.99,0.44,1.17,44.83,4.09,0,0,0,0,0,0,0,13.89,0,0.89,0
 60-70,0,0,0,0,3.11,0,32.67,7.15,0,0,0.93,0,0,0,0,0,8.98,1.27,0,41.75,0,0,0,0,0,0,0,0,3.97,0,1.81,0
 72-82,0,0,0,0,3.19,0,14.43,6.37,0,0,0,0,0,0,0,1.36,9.17,0,0,27.62,0,1.37,0,0,0,0,0,0,0.79,0,2.22,0
 84-94,0,0,0,0,2.53,4.54,5.3,2.12,0,0,0,0,0,1.93,0,0,20.01,1.13,3.09,16.24,0,0,0.89,0,0.76,0,0,0,1.5,0,0,0
 96-106,0,0,1.43,0,1.53,0,11.99,1.64,0.62,0,0,0,0.99,0,0,0,12.45,0.93,1.45,24.2,0,1.34,1.8,0,1.01,0,0,0,2.89,0,3.92,0
108-118,0,0,0,0,1.19,0,11.87,6.48,0,0,0.69,2.8,1.94,0,0,0,8.76,1,0.63,13.12,0,0,0.82,0,0,0,0,0,0,0,0,1.33
120,0,0,0,0,1.7,1.53,29,20.1,0,0,0,5.93,0,0,0,0,5.34,0,0,32.13,10.25,0,0,0,2.9,0,0,0,9.91,3.52,1.55,0
