stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,gut,liver,mesenchyme,muscle,neural,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0
 10-12,19.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.8,1.17,1.9,0,0,0,12.52,0,0,0.87,11,0.9,37.26,0.84,4.55,1.45
 24-34,1.2,0,0,0,1.11,0,2.21,1.79,2,1.35,6.91,0,16.38,0,1.27,2.35
 36-46,0,0,0,0,0,0,0,0,2.06,0.6,14.94,0,0,0,3.91,4.35
 48-58,0,0,0,0,0.61,0,0,1.34,9.16,0.66,15.65,0,0.46,0,6.95,5.59
 60-70,0,0,0,0,0.6,0,0.65,5.11,13.26,0.59,5.18,0,0,0,2.6,2.55
 72-82,0,0,0,0,3.65,0,0,0.8,8.78,0.49,3.26,0,0,0,0,4.22
 84-94,0,0,0,0.92,2.38,0.7,1.51,3.32,12.7,2.24,2.65,0,0,0,1.33,2.05
 96-106,0,0,0,0,10.74,0,0.56,3.24,4.99,2.15,15.63,0,2.33,0,0,7.63
108-118,0,0.73,0,2.14,2.73,0,1.6,4.21,12.93,1.57,7.89,0,0,0,0,2.66
120,0,0,0,1.62,0,0,1.04,3.29,5.71,0,0,0,1.64,0,0,1.65
