stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,otic,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
 10-12,0,0,3.61,0,0,0,0,0,0,0,0,13.44,0,0,0,0,0,0
 14-21,1.81,1.98,0,0,0,40.76,0,0,0,0,0,1.13,0,0,0,0,0,0
 24-34,7.94,2.21,1.55,0,0,64.87,0.75,0,0,0,0,4.27,0,0,0,1.88,0,0
 36-46,0,0,0,1.87,0,47.88,0,0,0,0,0,8.08,0,0,0,0.79,0,0
 48-58,0,0,3.63,0,0.9,62.26,0,0,0,0,0,4.14,0,1.73,0,0,0,0
 60-70,0,4.71,1.32,0,0,74.69,0,0,0,0,0,0,0,0,0,0,0,0.69
 72-82,0.64,0,1.23,0,0.89,85.1,0,0,4.69,0,1.01,0.8,0,0,0.53,0,2.33,0
 84-94,0,0,1.96,0,0,130.15,0,1.49,0,2.96,0,3.98,0,0,0,5.27,0,0
 96-106,0.76,0,0,0,0,139.77,0,0,2.32,0,0,1.54,0,0,0,0,6.29,0
108-118,0.99,0,0.68,0,0,108.08,0,0,0,0,0,0,0.51,0,0,0,0.47,0
120,0,1.04,0,0,0,195.25,0,0,1.05,0,0,1.35,0,0,1.68,0,11.17,0
