stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.57,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,84.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.37,0,10.75,0,0,0,13.73,0,0,0,0,0,55.12,0,0,0,0,0,0,0,0,0,0,121.01,7.02,0,0,25.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,14.05,0,0,0,6.57,0,0,0,0,0,40.8,0,0,0,0,0,0,0,0,0,0,272.91,4.29,0,0,29.05,0,17.66,0,31.43,0,3.51,0,0,0,0,0
 14-21,0,0,1.11,0,52.07,1.23,0,5.22,0,0,0,2.24,0,0,0,0,0,0,0,0.86,1.81,0,0,0,205.98,0.9,3.69,1.07,0.92,0,22.52,4.76,1.32,1.95,74.04,0,0,0,0,0
 24-34,0,0,2.01,0,15.04,1.71,0,24.25,0,9.36,0,5.06,0,0,1.75,2.15,3.7,0,0,0,14.2,0.69,0,6.44,1092.05,0,42.19,3.82,0,0,45.22,0,5.65,0.7,293.72,0,0,14.75,0,0
 36-46,0,0,0.61,0,7.28,0,0,126.89,0,5.95,1.39,14.97,0,0,0,2.59,4.54,3.72,0,0,17.3,0,0.92,2.12,2049.26,0,42.64,1.5,0,0,34.49,0,2.02,0,425.21,0,0,3.41,0,0
 48-58,0,0,0,0,20.97,0,0,361.5,0,8.33,4.44,60.81,0.51,0,0.49,0.85,0.37,0,0,1.23,26.89,0.81,0.89,8.23,2599.7,4.62,20.83,0.4,0,0,6.58,0,8.25,0,499.79,0,0,14.55,0,4.26
 60-70,0,0,0.7,0,15.32,5.9,0,794.04,0.69,18,7.08,36.85,0,0,1.77,1.88,0,0,1.8,0,32.54,2.18,5.29,9.43,2670.24,0,21.3,2.6,0,1.22,8.11,0,1.71,0,415.12,0,0,1.38,0,0
 72-82,0,0,0,0,10.3,15.75,0,766.06,1.52,9.4,1.51,52.84,0,0,1.66,2.73,3.58,6.84,0,0,27.1,0,0,0,2167.54,3.31,36.65,7.84,0,4.02,13.94,0,2.22,0,284.99,0.8,0,11.49,2.94,0
 84-94,0,0,1.05,0,21.45,0.84,0,513.69,0,11.9,6.34,54.69,0,0,0,4.16,0,0.67,0,0,42.42,0,0.86,6.36,1510.8,0,13.66,1.42,0,0.83,8.43,0,2.64,0,187.29,0,0.58,5.38,3.07,6.59
 96-106,0,0,1.19,0,30.8,16.82,0.56,521.69,0,6.52,2,41.1,1.43,0,0,0.96,3.01,0,0.84,0,51.71,4.11,1.09,0.83,1252.51,0,30.68,0.65,0,0,13.79,0,0.89,0,87.09,1.59,0,1.09,3.29,1.69
108-118,0,0,0,0.74,38.21,4.65,2.73,419.38,0,9.79,1.92,42.85,0,0,0,4.7,5.45,0,0,0.64,49.29,0.43,0,2.85,1580.93,0,28.89,2.09,0,1.8,14.48,0,2.6,0,65.34,2.29,1.3,0,4.41,0
120,0,0,0,0,47.63,4.22,0,436.23,0,7.04,2.8,97.64,0,0,9.97,16.58,0,0,0,0,25.13,2.62,6.76,8.59,2518.49,0,21.81,0,0,4.59,6.27,0,19.16,0,70.61,0,1.56,0,0,17.42
