stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,44.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,21.3,3.33,4.79,5.5,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.71,0,0,0,0.99,0,0,0,0
 24-34,0,0,1.22,0.8,0,0,0,0,0,1.75,20.72,0,0,0,3.25,0,0,0,0
 36-46,0,3.04,0,0.96,0,0,0,0,0,0,27.17,0,0,0,6.14,0,0,3.54,0
 48-58,0,0,0,3.31,0,0,1.61,5.89,0,0,29,0,0,0,1.57,0,0,0,0
 60-70,0,0,0,9.98,0,0,0,0,0.61,0.88,22.32,0,0,0,4.92,0,0,0,7.87
 72-82,0,2.1,0,0.54,0,0,0,17.09,0,1.85,3.1,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.46,0,1.21,0,8.85,0,1.19,5.22,0,0,0,0,3.4,0,0,0
 96-106,0,0,0,9.81,0,0,0,16.1,0,2.77,0,0,0,0,0,0,0,0,0
108-118,0,0,2.73,4.36,0.9,0,0.81,6.81,0,1.54,6.56,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,13.81,0,0,0,0,0,0,0,0,1.54,0,0
