stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,xanthophores
  3-4,10.66,132.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0
  5-6,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0
  7-9,3.68,4.19,0,15.72,0,36.13,0,0,0,0,18.31,0,0,0,0,0,0,0,0,170.36,14.3,0,0,67.94,0,0,0,0,0,0
 10-12,0,10.47,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.11,18.04,0,0,27.74,0,0,0,5.32,0,0
 14-21,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,2.66,1.77,0,0,0,0,0,0,0.8,2.35,0,0
 24-34,0,0,1.05,0,2.07,2.16,0,0,0,0,0,0,0,0,0,0,0,0,3.03,18.43,0,1.71,1.33,0,0,1.51,0,0.79,0,0
 36-46,0,0,0,0,0,1.11,0,0,0,0,0,0.99,0,2.37,0,4.51,2.37,0,1.61,21.21,0,0,0,0,0,0.74,0,3.58,0,0
 48-58,0,0,0,0,0,6.44,0.55,0,2.32,0,0,0,0,0,0,0,0.91,0,0.62,46.64,0,0,0,0,0,0.99,0,4.43,0,0
 60-70,0,0,0,0,0,8.64,0,0,2.03,0.63,0,0,0,0,0,0,2.52,0,0,28.62,0,0,0,0,0,2.4,0,4.42,0,0
 72-82,0,0,0,0,0,16.6,1.51,0,0,1.59,0,0,0.59,0,0,0,1.02,0,0.54,34.32,0,0,0,0,1.61,0,0,0.98,0,0
 84-94,0,0,0.98,0,1.77,7.34,0,0.74,2.27,0,0,0,0,0,0,0,0,0,0,15.07,0,1.13,0,0,0,3.91,0,3.07,2,2.6
 96-106,0,0,1.56,0,1.68,12.59,1.15,0,6.75,0.7,0,0,0,0,0,0,0.64,0,0,18.09,0,0,0,0,0,3.57,0,0,0,0
108-118,0,0,0.71,0,0,5.45,0,0,0,0.43,0,0,0,0,0.78,0,1.58,0,0,14.73,0,0,0,0,0,2.28,0,0,0,0
120,0,0,0,0,2.26,17.97,0,0,0,0,0,0,0,0,0,0,3.85,1.31,0,42.16,0,0,0,0,0,0,0,0,0,0
