stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,256.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.05,0,0,0,0,0,0,0,0,0,0
  5-6,15.71,722.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.59,0,0,0,8.03,57.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,35.3,0,4.72,0,0,0,56.69,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,964.77,0,0,0,74.13,13.89,17.3,0,0,0,0,0,0,0,0,0
 10-12,0,32.87,0,30.54,0,5.53,0,59.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388.08,0,0,0,87.3,6.91,3.78,4.61,5.44,0,0,0,0,0,0,0
 14-21,0,0,0,3.62,123.83,148.31,0,78.76,0,0.95,0,0,0.85,54.42,1.84,3.74,5.55,1.84,3.79,0,2.5,0.95,0,0,40.81,0,2.06,19.31,1.04,108.58,0,11.94,0,0,6.33,4.74,0,0,34.57,0
 24-34,0,0,0,0,27.8,14.08,0,631.31,0,1.42,0,0,1.3,6.68,0,0.9,12.4,14.47,4.9,6.05,8.87,5.58,0,3.06,90.76,5.54,11.73,23.45,0,296.44,0,0,0,1.76,0.86,11,0,0,68.58,0
 36-46,0,0,0,0,26.51,1.54,0,625.14,0,0,0.61,2.1,0,0,0,0,0.68,2.74,1.51,1.83,1.37,0,4.9,0.75,42.83,1.03,6.24,5.79,0,153.15,0,0,2.15,0,0,4.37,0,0,1.65,2.01
 48-58,0,0,0,2.58,9.21,1.33,0,336.64,0,0,0.68,0,5.01,0.48,0,0,0.62,3.81,1.98,0,17.89,0.46,0,0.96,56.34,0,0.75,0.85,0,49.11,0,0,4.97,0,0,2.48,0,0,0.47,0
 60-70,0,0,0.62,0,9.18,1.34,0,294.77,0,0,0,0.85,0.84,0,0,9.05,1.42,2.19,0,0,29.24,3.18,0,2.3,6.16,0,0,9.39,0,9.5,0,0,0,0,0,0.82,0,0,0,0
 72-82,0,0,0,0,5.98,1.92,0,189.43,0,0,0,1.9,0,0,0,0,0.7,0.67,0,0,30.7,0,0,0,9.34,0.5,0,0,0,4.5,0,0,0,0,0,0,0,0,0.55,5.44
 84-94,0,0,0,0,6.55,6.79,0,219.42,0,1.76,0,0.58,1.2,0,0,0,0.72,3.18,0,0,69.43,0,0.65,0,4.16,0,0.8,0,0,2.76,0,0,0,0,0,0,0,1.6,0.62,0
 96-106,0,0,0,0,2.39,8.73,2.73,201.05,0,0,1.88,0,0,0,0,1.37,0,2.76,0,0,9.16,0,0,0.56,3.4,0,0,1.5,0,2.83,0,0,0,0,0,0,0,2.02,0,0
108-118,0,0,0,0,4.76,4.28,0,220.58,0.54,0,0,0.5,0,0,0,0,0,1.05,0.65,0,20.2,4.6,1,0.47,18.73,1.03,0,2.83,0,3.14,0,0,0,0,0,0,0,1.15,1.32,0
120,0,0,0,0,3.46,0,0,131.78,4.91,0,0,0,2.6,0,0,0,0,2.05,0,0,26.84,1.49,8.5,4.6,13.07,0,0,6.75,0,6.11,0,0,0,0,0,0,1.53,0,14.07,0
