stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,57.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.71,0,0,9.31,0,0,0,0,0,0,0
 14-21,0,12.06,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0
 24-34,0,9.9,0,0,0,15,0,0,3.55,0,0,0,0,0,0,0,0.91,0,0,0,0,2.15,0.76,0,1.29,0,0
 36-46,0,0.68,0,0,0,9.7,0,0,7.14,0,0,0,0,7.67,0,0,0.67,0,0,0,0,27.69,0.94,0,0,0,0
 48-58,0,1.21,0,0,0,1.65,0,0,6.57,0,0,0,4.52,1.21,0,0,3.06,0,0,0,0,25.67,0.82,0,0,0,0
 60-70,0,1.91,0,0,0,0,0.6,8.1,4.28,0,0,1.16,39.02,0.94,0,0,10.33,0,0,0,0,4.71,0,0.73,0,0,0
 72-82,0,0.6,0.57,0,3.72,0,6.22,8.28,4.33,0,0,0,163.94,8.04,0.56,0,21.89,0,0,0,0,8.32,0,0,0,0,0
 84-94,0,0,3.38,0,9.79,0,0,22.48,0.63,0,0,0,418.37,1.23,0,0.68,27.78,0,0,0,0,37.55,7.66,2.3,0,0,7.29
 96-106,0,0.64,0.92,0,34.65,0,5.93,19.32,0.66,1.86,0.58,0,680.67,4.3,0,0,75.24,1.3,1.07,0,5.95,45.7,8.96,0,0.56,0,0
108-118,0,0.91,2.55,2.13,22.76,0.53,11.29,14.25,3.4,0,0.67,0,1344.1,8.76,0,2.75,79.33,0,0.91,0,2.98,42.74,1.75,0,0.87,2.11,0
120,0,0,0,5.29,11.58,0,4.78,15.25,0,0,0,0,563.79,15.93,0,0,71.63,0,0,0,1.11,64.39,0,0,4.69,0,0
