stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.41,0.95,0.95,0,0,0,0,0,0.81,0,48.59,0,0,0,0
 24-34,0,0.67,0.6,0,0,0,4.15,0,1.54,0,0,0,0,0,0,0,1.44,1.56,0,0,1.01,639.63,1.65,5.2,0,0,0,1.47,0,0,0,325.77,0,0,0,0
 36-46,0,0,0,0,0,0,4.91,0,0.57,6.64,0,0,0,0,0,0,0,0.86,0,1.12,0,1406.99,17.36,7.94,0,0,0,0,0,0,0,508.27,0,0,0,0
 48-58,0,0.84,0,23.71,3.02,0,96.96,0,1.1,19.93,0,0,0.68,0,0,0,0,18.85,0,7,2.44,3188.55,0.81,3.76,0,0,5.19,8.52,0,0,0,456.75,0,3.54,0,4.05
 60-70,0,0,0,12.75,0,0,299.38,0,0,74.39,0,0,0,0,0,0,0,41.47,0,0.7,5.11,5502.73,0,5.09,0,0,0,6.17,0,0,0,686.76,0,9.51,0,0
 72-82,0,0.54,0,27.21,4.44,0,392.07,0,5.89,74.5,3.29,0,3.1,0,0.72,0,0,47.91,0.92,1.42,2.62,5725.43,0.52,7.25,3.55,0,1.4,6.51,1.65,0,1.17,452.31,0,2.28,1.85,17.04
 84-94,0,2.11,0,37.64,14.02,0,425.77,0,0,45.07,0,0,4.53,0.83,18.24,0.69,0,36.55,3.03,2.23,3,4028.29,0,0.95,1.06,0,2.56,3.69,0,0,0,332.08,4.04,4.39,0,4.35
 96-106,0,0.61,0,27.53,15.72,0,424.66,0.58,0,44.49,1.48,1.46,0,0,0.75,0,0,43.81,3.47,0,1.1,3786.24,0,10.56,0,0,2.97,2.4,0,0,0.68,174.72,0,4.2,0,0
108-118,0,0.41,0,20.32,5.58,2.37,410.56,0,0.74,66.59,0.43,0,0.64,0,0,0,0,42.1,0,0,0.48,3903.4,0,7.81,10.6,0,0,11.27,0,0,3.83,136.99,0,0,0,0
120,0,8.81,0,78.7,0,0,704.22,0,3.17,126.84,0,5.73,6.07,7.39,0,0,2.28,83.62,0,0,6.28,9095.04,1.38,9.91,0,0,0,5.14,0,0,0,299.38,10.18,0,0,0
