stage,blastomeres,epidermis,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,periderm,pronephros,spinal_cord,taste
  3-4,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,28.63,4.32,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.29,21.07,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.15,16.97,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.59,70.57,0,0,0
 36-46,0,1.63,0.66,0,0,0,8.75,0,0,1.5,0.87,84.9,0,0.84,0
 48-58,0,5.86,1.01,0,0,0,4.05,0,0,0.39,5.23,25.11,0,0,0
 60-70,0,1.57,0,0,0,0,0,0,0,0,0.98,37.26,0,0,0
 72-82,0,3.52,0,0,0,0.5,0.63,0,1.08,0.66,0.72,19.24,0,0,1.42
 84-94,0,9.46,0,0,0,0,0,1.43,0,1.5,0,48.71,0,0,0
 96-106,0,9.62,0,0,0,0,1.67,0,0,0,2.71,53.26,0,0,0
108-118,0,3.52,0,0.44,0.92,2.2,0,1.5,0,0.57,0,25.8,0,0,0.48
120,0,17.11,0,0,2.43,3,0,0,0,0,0,22.45,2.39,0,0
