stage,axial,blastomeres,neural,notochord,paraxial.mesoderm
  3-4,0,146.06,0,0,0
  5-6,0,65.02,0,0,0
  7-9,4.21,5.34,17.48,3.69,10.66
 10-12,0,0,0,0,3.77
 24-34,0,0,0.84,0,0
 48-58,0,0,0.55,0,0
