stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,10.56,469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.96,0,0,0,0,0,0,0
  5-6,7.12,632.63,0,0,0,0,0,0,0,11.6,0,0,0,0,0,10.44,0,0,16.34,13.25,0,0,0,0,0,0,0
  7-9,0,23.92,0,0,0,43.11,0,0,0,12.04,0,0,0,0,0,213.64,7.96,0,52.44,0,0,0,0,0,0,0,0
 10-12,0,0,14.09,0,0,20.71,0,0,0,0,0,0,0,0,0,98.45,9.28,0,74.65,0,0,7.91,0,0,0,0,0
 14-21,0,0,0,9.08,0,1.26,0,0,1.07,0,0,0,2.52,2.28,0,12.24,4.53,0,0,1.09,15.07,0,1.37,2.9,5.69,1.01,0.85
 24-34,0,0,0,0.87,0,0,0.62,0,0,0,0,0,0,4.13,0,9.79,0,0,0,6.97,0,0,0,0,3.91,0,0
 36-46,0,0,0,1.71,0,0,1.73,0,0,0,0,0,0,0,0,2.75,0,0,0,6.65,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,4.78,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.91,0.77,0,3.11,0,0,5.81,0,0,0,0,0,3.83,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.62,0,1.98,0.83,0,0,0,0,6.47,1.42,0,0,0,0,0.61,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.68,0,1.51,0,0,0,0,3.85,2.3,0,0,0,0,0,1.26,0
 96-106,0,0,0,0,0,2.49,0,0,0,0,0,0,0,11.84,0.94,1.96,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.49,0,0,0,0,0,0,0,0,4.9,3.98,0,0,1.03,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0
