stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,78.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,24.57,3.96,0,0,27.18,0,0,0,0,0,0,0,0,0,0
 10-12,7.52,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,53.16,26.61,0,0,13.79,0,0,5.55,0,12.47,0,0,0,0,0
 14-21,0,0,0.94,6.48,1.17,0,0.88,0,0,0,0,0.81,0,0,0,0,2.25,0.97,0,3.87,0,0,1.81,27.88,22.83,1.08,0,3.37,0,116.08,0,0.91,0,4.62,7.74,0,0,0
 24-34,0,0,0,6.99,0.75,0,3.98,0,0,2.74,1.51,0,0,0,0,0,11.63,0,0.98,1.95,0.8,0,2.65,39.8,12.57,7.46,0,0,0,215.17,0,0,0,2.08,7.07,0,0,0
 36-46,0,0,0,24.39,0,0,1.77,0,0,0.65,0.89,0,0,0,0,0,7.59,4.14,0,5.64,10.82,0,0.71,30.82,18.11,1.83,1.8,0,0,390.91,0,0,0,0,5.64,0,0,0
 48-58,0,0,0,13.64,0,0,15.07,0,4.38,5.4,0.38,0,0,1.43,7.15,0,6.41,0,0,13.24,0,0,1.8,46.77,1.56,0.46,0,0,0,294.09,0,0,0,0,10.41,0,0,0
 60-70,0,0,0,23.94,1.64,0,14.89,0,0,6.27,2.41,5.78,0,0,1.69,0,7.58,0,0,13.26,0.73,0,0.68,47.93,1.38,1.56,0,0,0,166.97,0,0,0,0,9.56,1.44,0,0
 72-82,0,0,0,23.05,0,0,12.31,0,0,1.35,4.54,21.13,0.74,0.51,2.55,0,13.4,2.23,0,14.52,3.1,0,2.68,105.04,0.61,2.81,0,0,0.84,48.33,0,0,0,0,12.67,18.78,0.51,1.24
 84-94,0,0,0,70.41,7.11,0,32.8,0,6.19,0.93,0,74.89,0,0,1.45,0,5.43,20.81,0,13.59,7.18,0,1.01,75.78,4.73,6.01,0,0,0,180.07,0,0,0,0,8.15,68.6,0,0.83
 96-106,0,2.5,0,109.13,4.05,0,20.9,0,7.74,2.11,8.69,109,0,0,16.39,0,23.71,0,0.69,14.32,15.26,2.34,3.87,49.36,0,12.25,0,0,0,194.64,0,0,0,0,4.7,133.5,0,0.89
108-118,0,0,0,201.02,4.18,4.06,32.6,0.54,21.56,4.42,0,171.02,0,0.56,21.71,0.87,6.95,6.48,0,18.89,21.17,1.16,1.98,104.96,1.38,4.45,1.6,0,0,365.2,0,0,1.76,0,0,163.26,0,0
120,0,0,0,108.96,0,1.03,0,0,22.99,0,0,76.26,0,1.69,9.34,0,4.44,0,0,4,2.8,0,0,67.85,0,3.68,0,0,0,120.56,0,0,0,0,0,86.21,0,1.59
