stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.84,207.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.45,167.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,39.57,0,0,0,6.48,0,0,0,0,0,44.52,0,0,0,0,0,0,0,0,0,0,0,85.64,16.12,0,0,41.86,0,11.76,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,93.16,0,0,0,4.05,0,0,0,0,0,22.93,0,0,0,0,0,0,0,0,0,0,0,182.75,0,0,0,49.26,0,0,3.03,0,16.62,0,21.27,0,0,0,0,0
 14-21,0,0,0,1.92,0,0,0.9,0,0,0,19.03,0.82,1.92,0,0,0,0,0,0,0,17.48,0,0,0.88,42.78,0,2.88,3.44,0,0,0,0,4.76,19.2,0,13.21,69.06,0,0,0,0
 24-34,0,0,0.6,2.91,0,0,1.66,0,0,0,21.58,0,0,2.08,0,0,0,1.29,0,0,7.36,0,0,2.88,149.24,0.75,20.34,1.86,0,0,1.77,0,0,14.35,0,2.06,86.79,0,0.72,0,0
 36-46,0,0,0,0,0,0,12.25,0,3.56,0,15.94,0,0,0.88,0,0,0,0.67,5.5,0,5,0,0,3.78,228.4,0,40.91,1.75,0,0,4.96,0,0,4.32,0,0,50.07,0,1.55,0,0
 48-58,0,0,0,0.38,0,0,28.03,0,0,0,23.11,0,0,1.16,0,0,0,0,0.78,0,6.11,0,0,1.66,301.52,2.41,24.91,1.27,4.77,0,3.59,0,0,10.85,0,0,74.23,0,0,0,3.49
 60-70,0,0,0,4.95,0.56,0,94.27,0,1.34,0,43.48,0,0,0.71,0.6,0,0,3.24,0,0,25.4,0,0,0,301.62,0,37.04,6.68,0,3.93,1.25,0,0,0,0,0,93.05,0,3.44,0,0
 72-82,0,0,0,0.68,7.08,0,109.12,0,0,1,48.84,0,0,0.88,0,0,0,5.45,0,0,25.78,0,1.73,2.28,310.85,0,63.7,5.25,0,0,5.83,0,0,0,0,0,44.86,0.52,3.25,0,0
 84-94,0,0,0,7.08,1.17,0,58.79,0,0,3.65,53.1,1.97,0,0,0,0,0.73,8.87,0,5.31,25.51,1.03,1.13,2.83,191.27,0,65.48,16.44,0,0,15.99,0,0,0.62,0,0,24.28,0,0.91,0,0
 96-106,0,0,1.03,6.46,0,0,81.85,0,2.64,0,41.16,1.49,0,3.43,3.79,0,0,11.04,9.06,0,34.82,0,1.36,0,234.62,0,97.12,18.6,0,0,7.35,0,0,0.7,0,0,44.28,1.65,0,1.1,5.83
108-118,0,0,0,7.48,2.98,0,100.69,0.7,2.19,0,55.77,0.63,0,0,1.91,0,0,5.48,0,0,39.7,0,1,2.59,308.72,0,50.78,8.13,0,1.05,7.28,0,0,6.41,0.43,0,14.44,0.56,10.17,0,2.83
120,0,0,0,17.52,12.6,1.03,76.67,2.98,5.94,0,82.83,12.74,0,0,2.45,4.55,1.91,8.08,0,0,183.54,0,15.95,5.74,323.08,2.01,41.08,30.71,0,0,22.87,0,0,4.05,0,0,80.14,0,13.33,5.05,0
