stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,13.15,1.81,1.19,0,0,0,1.03,1,0,0,1.16,0,0,0,0,3.93,0,0,32.68,0,2.08,0,0,14.83,1.48,6.18,11.85,0,0,0,0,0
 24-34,0,5.08,0,3.91,0,0,0.79,1.96,0,0,0,0,0,1.26,0,0.62,8.85,0,2.72,95.4,2.24,0,0,0,0,0,3.26,21.08,0,0,0,0,0
 36-46,0,2.06,0,10.71,0,0,0,3.27,0,1.06,0,0,0,0,0,0.86,7.39,0,1.07,83.14,0,0.59,0,1.28,0,0,0,20.95,0,0,0,0.78,0
 48-58,0,3.38,0,26.36,0,0,1.23,8.52,0,0,0,0,3.97,0.53,0,0.53,10.57,2.68,0.4,87.8,1.4,0,0,0,0,0,0,20.66,0,0,0.44,0,0
 60-70,0,0,0,32.3,1.33,0,0,13.74,0,0,3.06,1.69,0,0,0,0.71,8.98,0,0,51.56,0,0,0,0,0,0,0,1.59,0,1.9,0,0,1.44
 72-82,0,5.3,0,23.72,0,0,2.34,6.26,0,0,2.24,0.63,0,0,0.54,0,12.09,0,0,66.64,3.2,2.72,0,0.53,0,0,0,1.9,0,1.26,0,0,3.02
 84-94,0,0.58,5.17,16.86,0,0,0,0.79,0,0,8.51,1.02,0,0,0,5.22,12.27,0,5.8,22.75,1.65,0,0,1.23,0,0,0,3.18,3.27,0,1.01,1.95,0
 96-106,0,3.28,0,26.69,0,0,0.81,2.29,0,0.88,12.15,0.95,1.14,1.07,0,0,15.79,0,2.27,18.69,0,0.74,2.97,6.79,0,0,0,8.11,1.14,0,0,0,0
108-118,0,1.6,0.46,11.96,0,0.95,0.56,4.25,2.12,0,13.36,1.06,5.04,0,0.49,0,15.78,0.46,0,47.88,0,2.33,2.35,7.1,0,0,0,4.48,0,1.42,0,0,1.4
120,3.29,0,2.76,13.14,0,0,0,40.63,0,0,23.81,0,0,2.12,0,0,6.2,0,9.29,42.18,0,0,0,0,0,0,0,3.5,0,0,0,0,0
