stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.98,0,0,0,0,0.87,0,0,0.83,0,0,0,0,0,0
 24-34,0,0,0,0,2.85,1.47,0,0,0.79,0,0,1.57,3.84,0.95,0,0.68,23.98,0,0,0.77,0,0,0.98,0,0,12.95,0,6.86,0,0,0,0,0
 36-46,0,0,0,0,6.3,62.15,0,0,2.66,0,0,0,3.69,0,0,0,11.41,0.56,0,0,0,0,0,0,0,84.46,0,16.66,0,0,0,0,0
 48-58,0,0,0,0,9.47,36.27,0.41,12.92,0.64,0,0,5.3,8.9,0,0,9.08,44.32,0,0,0,0,0,0,0,0,64.12,0,2.81,0,0,0,0,1.73
 60-70,0,0,0,0,13.39,50.83,0.84,1.68,0,0,0,4.6,13.75,0,1.58,3.18,10.86,0,0,0,0,0,3.14,0,1.06,49.21,0,5.48,0,0.8,0,0,0
 72-82,0,0,0,0.76,16.19,17.75,0,0,0,0.68,1.68,0,4.85,1.31,0,8.53,26.35,0,0,0,0,0,0,0,0,8.54,0,0,0,0.91,0.71,0,0
 84-94,0,0.9,0,0,19.77,12.7,0,0.6,2.4,0,0.68,7.5,16.34,0,0,4.51,13.6,0,0,0,0,0,1.79,0,0,10.76,0,0,0,0.84,1,0,0
 96-106,0,0,0.79,0,4.1,19.29,1.25,0,0,1.57,4.34,0,12.4,0,0,3.13,23.21,0,0,0.93,0,0,0.92,0,0,2.38,0,0,0.56,0,0,6.81,0
108-118,0,2.06,0,0,2.29,18.45,3.22,0,0.44,0,0.42,0,10.98,0,0,7.17,19.37,0,0,0,0,3.72,0,0,0,10.24,0,0,0,0,0.99,2.23,4.22
120,0,1.66,0,0,4.46,49.72,0,0,2.29,0,0,0,20.23,0,0,19.75,7.59,0,0,0,0,0,0,0,0,5.23,0,0,0,0,1.35,0,0
