stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,3.91,0,0,12.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,0,6.96,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,2.17,3.19,0,0,0,0,0,2.71,0,0,2.42,0,0,1.22,0,0
 24-34,0,0,0.59,3.78,1.61,0,6.17,0,0,0,0,0,0,0,1.47,0,0,2.65,0,4.99,0,0,2.03,15.7,0,0,0,0,0,10.89,0,1.31,2.55,0,0,3.33,0,0.69
 36-46,0,0,0,0.79,2.59,0,3.45,0,0.93,0,0,0,0,5.85,0,0,0,0,0,14.79,0,0,2.76,12.46,0.69,0,0,0,0,14.78,0,0,4.56,0,0,1.48,0,5.33
 48-58,0,0,0,0,5.37,0,4.09,0,2.85,0.41,1.19,0,0,0,5.41,6.38,0,0,0.78,10.01,0,0,1.79,6.78,0,0,0.69,0,0,14.52,0,0,3.94,0,0,15.66,0,13
 60-70,0,0,0,4.38,16.39,0,3.66,1,1.18,9.42,14.75,0,0,1.51,0,0,1.16,0,4.8,37.24,1.91,0,1.52,10.06,0,0,0.99,0,0,6.54,0,0,6.09,0,0,5.97,0,15.86
 72-82,0,0,0,1.05,164.77,0,7.38,0,0,4.41,22.98,0,0.74,0,0,4.56,0.6,4.1,9.13,45.67,1.76,0,1.15,12.25,0,0,0,0,0,8.94,0,0,14.1,0.87,1.56,3.62,1.02,20.35
 84-94,0,0,0,5.14,171.27,0,6.22,0,2.49,3.89,12.65,7.63,1.81,1.53,1.56,4.31,0,3.71,2.03,29.66,1.16,4.81,0.94,27.54,0,0.61,1.68,0,0,29.61,1.07,0,0.99,0,0,3.09,0,17.11
 96-106,0,0.88,0,4.06,171.15,0,9.51,0,0,1.06,22.85,4.06,1.63,0.58,2.52,3.7,2.05,1.12,0.67,53.67,4.15,3.85,0,18.76,0,3.84,0.93,0,0,9.55,0,0,1.63,0,1.64,3.17,2.24,22.28
108-118,0,0,0,11.8,95.86,0,14.56,4.99,1.5,0.66,40.44,6.62,0,2,2.68,5.11,0,0.59,2.22,63.38,0,2.43,0,30.95,0.59,0.48,0,0,0,16.14,0,0,0,0.52,0.8,9.17,0,25.09
120,0,0,0,26.08,132.22,5.27,4.76,5.59,19.53,0,16.05,1.34,7.69,12.89,4.11,0,0,0,21.74,42.28,0,0,2.44,23.2,0,1.46,0,0,2.63,8.45,0,0,3.71,1.81,14.31,1.48,1.45,0
