stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,65.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46,0,0,0,0,0,0
  5-6,17.02,38.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,5.62,0,0,0,0,0
 14-21,0,0,0,6.29,3.32,0,0,0,0,0,0,3.81,0,0,0,0,0.88,9.42,0,0,0,0,0,0,58.1,0,0,0,0
 24-34,0,0,0,3,0,0,0,0.76,0,0,1.07,14.55,0,0,0,0,2.35,11.12,0.63,0,4.82,0,0,0,104.72,2.86,0,0,0
 36-46,0,0,0,2.18,0,0,0,1.62,0,0,0,2.19,0,0.6,1,0.82,0,7.72,0,0,4.48,0,0,0,76.51,1.21,0,0,0
 48-58,0,0,0,0.41,0,0,0,2.59,0,0,0.85,3.66,0,0.9,0.37,0.54,0.41,14.05,0,1.72,12.21,0,0,0,28.44,4.21,0,0,0
 60-70,0,0,0,5.18,0,0,0,10.92,0,0,0,29.8,1.16,7.75,0.87,0.63,0.56,11.57,0,0,5.37,0,0,0,29.93,0,0,0,0
 72-82,0,0,0.69,0.56,0,0,0,17.87,0,1.27,1.05,43.98,0,13.26,0,2.92,0,22.11,0,0.79,4.68,0,0,0,47.24,0,0.77,0.94,0
 84-94,0,0,0.56,0.59,5.5,0,0,9.64,7.34,0,0,97.67,0,10.78,3.97,4.22,0,19,0,0,10.88,0,0,0,64.23,5.83,0,0,0
 96-106,0,0,0,3.29,0.65,2.41,1.54,16.49,0,0,0,80.57,0,34.19,9.75,0,1.12,4.71,0,1.69,10.87,1.77,2.49,0,54.78,0,0.87,0,0
108-118,0,0,1.5,2.92,5.06,0,0.56,3.56,0,1.52,12.54,73.76,0,32.87,6.71,4.92,0,10.38,0,1.8,20.02,0,1.35,0,50.44,3.54,0.46,0.77,0.74
120,0,0,8.73,4.41,0,0,0,10.13,0,0,2.24,43.11,0,67.82,0,0,0,7.82,3.31,0,4.89,0,1.18,0,41.35,0,1.9,0,0
