stage,axial,blastomeres,endoderm,neural,paraxial.mesoderm
  3-4,0,39.92,0,0,0
  5-6,0,11.36,0,0,0
  7-9,6.6,0,0,0,4.51
 10-12,0,0,5.83,4.04,6.56
