stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,34.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0
  7-9,20.61,0,0,0,12.62,0,0,0,0,0,0,0,0,0,0,0,0,158.09,35.53,0,0,73.76,0,0,0,0,0,0,0,0
 10-12,7.02,0,7.5,0,38.5,0,0,0,0,0,0,0,0,5.32,0,0,0,201.2,5.37,0,0,60.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.9,3.42,0,0,0,0.9,0,0,0,0,0,0,0,1.79,22.86,0,0,0,0.85,0,0,0,2.77,10.21,0,0,0
 24-34,0,0,0,0,5.53,0,0,0,0.63,2.14,0,0,0,0,0,0,0,38.72,0,0,0,0,0,0,0,1.17,9.52,0,0,0
 36-46,0,0,0,1.64,6.13,1.83,0,0,0.8,0,0,0,0,0,0,0.56,0.56,23.64,0,0,0,0,0,0,0,0,5.25,0,1.38,0
 48-58,0,0,0,0,14.04,0.74,0,0.98,2.78,0,0.51,0,0,0,3.28,0,0,31.51,0.5,0.5,0,0,0,0,0,0,2.25,0,5.14,0
 60-70,0,0,0,0,18.96,1.28,0,0.68,1.33,0,0,1.65,0,0,5.57,0,0,36.36,0.98,0,0,0,0,0,0,0,8.22,0,0,0
 72-82,0,0,0,0,15.25,7.66,0,0,2.87,0,0,5.74,0.72,0,8,0,0,26.22,0,0,0,0,0.6,0,0,0,0,0,0.57,0
 84-94,0,0.66,0,0,4.53,0.56,0.6,0,4.71,0,0,0.69,0,0,0,0,1.23,5.24,0,0.71,1.1,0,1.16,0.56,0,0,3.26,0,0,3.02
 96-106,0,0,0,0.91,6.62,0.71,0,0,21.27,0.83,0,16.22,0,0,2.7,1.09,1.42,6.96,0,0,1.01,0,6.55,0,0,0,1.14,2.9,0,0
108-118,0,0,0,2.97,3.2,0.92,0,0,7.66,1.42,0,15.68,0,1.74,8.76,0,0,16.13,0,0,0,0,1.83,0.92,1.05,0,1.12,0,1.51,0
120,0,0,0,1.14,1.17,0,0,0,2.61,2.51,0,10.82,1.15,0,12.22,0,2,31.02,0,12.05,2.45,0,5.33,0,0,0,7.84,0,1.4,0
