stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.71,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,30.66,3.91,0,0,0,13.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.18,0,0,3.27,0,0,0,0,0,0,0,0,1.34,0,0,2.94,0,0,0,0,1.06,13.82,1.29,0.84,0,0,2.8,0.86,0,2.23,2.7,0,0,0,0,0
 24-34,0,0,0,2.96,0,0,9.87,0,0,0,0,0,0,0.8,0.8,2.84,0,0,0,0.62,1.31,0,0,0.81,29.74,0,1.19,1.49,0,10.65,0.79,0,0,5.84,0,0,2.28,0,0
 36-46,0,0,0,0.64,0,0,10.49,0,8.05,0,0,0.72,0,0,0,1.02,0,0,4.66,0,3.71,0,0,0,54.98,0,1.63,1.37,0,11.2,0,0,0,10.31,0,0,5.93,0,11.64
 48-58,0,0,0,1.02,0,0,10.8,0.81,0,1.96,9.06,0.91,0.7,0,0,0,6.35,0,4.81,0.94,22.5,0,0,4.11,69.94,0,8.78,0,0,14.9,0,0,0,10.39,0,0,2.6,0,14.61
 60-70,0,0,0,13.56,0,0,37.25,0.89,0,0.91,11.95,0.57,0,0,4.51,6.3,20.42,2.04,0,5.96,9.64,0,0,1.05,49.94,0,0,2.68,2.37,21.5,0,0,0,3.07,0.77,0,3.22,0,0
 72-82,0,0,0.64,7.77,1.33,0,11.33,0,1.14,1.5,13.36,0.62,0,0,1.32,1.38,16.17,0,0,0,14.39,0.74,3.16,0,38.4,0,1.35,1.14,0,7.61,1.21,0,0,11.7,0,0,4.7,1.84,16.44
 84-94,0,0,0,9.05,0.63,0,31.57,0,0,0,9.76,2.15,0,0,4.85,1.83,22.76,2.4,4.73,0,21.89,1.44,1.87,0.71,23.2,2.17,1.6,2.3,0,40.43,2.18,0,0,1.05,5,2.21,0,6.11,0
 96-106,0,0,0.89,2.11,0.84,0,49.31,0,0,0,15.86,5.73,0,0.71,3.4,2.48,15.07,1.7,8.77,0.69,31.4,10.34,0.8,0,30.12,0,6.06,3.82,0,38.08,0.67,0,0,3.94,0,0,4.79,0,9.93
108-118,0,0,1.55,3.02,5.63,1.91,55.79,0,0.43,4.18,9.54,8.12,0,0,1.49,8.61,36.32,0,0.9,0,16.4,0,0.46,6.37,49.94,0,4.63,5.31,0,32.75,3.35,0.55,0,6.95,1.59,0.82,1.91,0,3.25
120,0,0,0,13.79,0,0,42.12,1.61,1.75,0,21.79,10.48,0,0,13.99,2.76,37.82,0,3.71,3.89,32.98,0,0,0,73.74,0,1.45,9.45,0,16.47,1.02,1.37,0,5.94,3.15,0,15.31,1.43,2.08
