stage,blastomeres,epidermis,eye,glial,gut,heart,mesenchyme,mural_cell,muscle,neural,otic,periderm,spinal_cord,vascular_smooth_muscle
  5-6,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0
 14-21,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0
 24-34,0,0,0,0.76,0,0,0,0,0,36.62,0,0,7.74,0
 36-46,0,0,0.56,0,0,0,1.19,0,0,123.37,0,0,43.35,0
 48-58,0,0,4.84,1.25,0,0,0.49,0,0,182.1,0.59,0,20.78,0
 60-70,0,0,12.67,0,0,0,0,0,0,215.01,0,0,30.95,0
 72-82,0,2.89,36.65,3.54,0,1.25,2.92,0.54,0.63,304.07,0,1.45,23.28,0.51
 84-94,0,0.6,17.85,0,0,0,3.43,1.17,0,202.37,0,1.05,13.83,0
 96-106,0,2.56,14.42,0.82,0,0,10.15,0,0,146.67,0,0,6.87,0
108-118,0,3.07,13.52,2.41,2.18,0,2.46,3.01,0,125.32,0,0,2.41,0
120,0,0,2.62,4.93,0,0,0,0,0,204.11,0,0,7.32,2.93
