stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,32.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0
  5-6,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.55,0,0,0,0,0,0,0,0,0,0,16.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,1.97,0,0,0
 24-34,0,0.87,0,0,0.88,0,0,0.6,0,0,3.05,0,0,23.96,1.03,0.78,0,0,13.96,0,0.85,0
 36-46,0,0,4.25,0,0,0,0,0,0,0,0,0,0,27.52,0,0,0,7.43,9.68,0,0.56,0
 48-58,0,0.71,1.4,0,0,0,0,0,0,0,1.11,0.59,0,16.67,0,0,0,4.03,5.77,0,0.38,0
 60-70,0,0,2.72,0,1.83,0,0,0,0,0,1.62,0,0,14.6,0,0.7,0,7.85,1.19,0,1.72,0
 72-82,0,2.32,8.26,0,4.04,0,0,0,0.64,0,9.63,2.08,0,36.7,0,0,0,9.49,4.82,0,0.7,0
 84-94,0,8.21,4.39,1.25,1.5,0,3.57,0,0,0,2.99,0,0,33.84,0,4.26,0,59.48,2.24,0,1,0.68
 96-106,0,7.96,9.91,0.57,0,4.1,4.73,2.42,0,0,10.46,0.67,0,17.82,0,2.23,0,41.88,0,0,0.69,0
108-118,0,7.83,8.26,2,1.69,0.51,5.79,1.27,2.2,1.55,9.95,0,0,16.45,2.48,2.08,0,25.33,0,3.03,0,0
120,0,6.72,6.04,2.65,1.97,0,4.82,3.54,0,0,0,0,18.62,42.08,0,0,0,46.05,0,0,0,0
