stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.01,0,0,0,0,0,0,0,13.74,0,0,0,0,0,0,0,0,0,0,28.26,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.26,39.86,7.77,0,0,0,0,0,5.94,0,12.22,3.5,0,0,0,0,0,5.18,0,0,0,4.82,0,0,0,0,0,18.41,0,0,8.93,0,0,2.34,0,0
 24-34,0,0,2.4,12.7,52.64,0,3.73,0,0.85,0,94.26,0,11.9,0,0,0,0,0.96,1.67,3.29,0,0,0,14.59,0,0,0,0,0,67.22,0,0,20.59,0,0,84.6,0,0
 36-46,0,0,0.96,3.27,36.83,0,0.81,0,0,2.47,133.53,0.81,5.42,3.33,0,0,0,0,0,20.14,0,0,0.6,32.64,0,1.14,0,0,0,117.46,0,0.7,19.89,0,0,185.6,0,0
 48-58,0,0.59,0,2.08,102.08,0,12.94,0,0.47,5.63,82.94,2.88,33.96,0.63,0,0.55,0,0.68,2.86,116.13,0,0,4.5,24.05,0,6.69,0,0,0,51.86,0,0,55.34,0,1.01,47.1,0,0
 60-70,0,0,0,6.33,91.6,0,9.99,0,3.28,5.2,56.37,0.98,8.63,0,0,0,0,0,0,186.99,0,1.42,7.29,8.83,0,3.89,0,0,11.54,67.1,3.18,0.71,34.29,0,3.71,37.63,0,8.92
 72-82,0,0,0,24.53,400.43,0,33.36,0,0.51,12.35,40.52,3.45,2.12,1.82,0,0,0,5.55,0,356.33,0,6.78,15.24,19.94,0,11.5,0,0,9.38,50.48,0.97,0,10.62,0,10.2,27.72,0,1.88
 84-94,0,1.05,0,63.61,413.87,0,54.21,1.43,1.88,4.69,33.35,6.97,11.02,2.41,0.78,5.86,0.86,6.34,0.86,213.91,0,3.36,3.5,18.22,0,24.36,0.6,0,4.76,153.86,0,0,3.87,0.85,6.71,44.16,1.63,9.28
 96-106,0,0,4,122.41,554.99,0,77.28,0,1.22,12.99,36.84,9.76,0,2.35,5.29,9.38,0.75,4.6,0,328.27,1.02,5.82,9.88,44.44,2.06,16.59,0,0,2.07,162.25,0,0,0.83,0,8.38,46.13,4.73,1.19
108-118,0,0,1.52,115.39,280.95,0.5,80.58,5.75,2.73,8.2,17.25,15.07,0,0,0.97,9.62,1.66,4.47,17.61,386.56,0.42,12.18,11.51,41.17,0,7.42,0,0,4.48,108.71,0.43,0,11.55,0,18.53,62.54,4.03,0
120,0,11.37,0,71.96,221.46,0,41.98,1.66,4.5,6.5,24.13,15.06,0,0,0,4.33,3.81,2.64,0,288.46,1.1,8.17,21.7,27.18,2.01,18.41,3.34,0,35.34,98.03,5.04,0,13.02,0,5.29,57.85,0,0
