stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,13.98,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.53,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0.9,0,0,12.89,0,0,0,0,3.85,0,0
 24-34,0,0,0.63,0,1.26,0,0.8,0,0.76,0,0,20.63,1.43,0,2.58,0,5.29,0,0
 36-46,0,0,0,0.9,5.53,0,3.6,0,1.99,0,0,22.01,0,2.13,0.61,0,4.83,0.87,0
 48-58,0,0,0,0,4.56,0,5.99,0,1.78,0,0,14.3,0,0,0,0,1.81,0,1.32
 60-70,0,0,0.92,0,3.35,1.64,0.64,0,1.49,0,0,27.19,5.7,0,0,0,2.71,0,0
 72-82,0,0,0,0,11.65,3.28,1.77,0,5.75,0.67,0,10.97,0,0,0,0,0,0,0
 84-94,0,0,0,0,9.1,0,2.99,0,0.62,0,0.56,5.78,0,0,0,0,1.49,0,0
 96-106,0,0,0,0,15.95,0,0,0,0.81,0,0,8.81,0,0,3.65,0,0,0,0
108-118,0,0,0,0,8.72,0,0,1.18,3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,18.62,0,0,0,0,0,0,17.17,0,0,0,0,0,0,0
