stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,21.51,121.9,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0
  5-6,6.74,230.7,0,0,0,0,0,0,0,0,0,7.76,0,6.69,0,0,0,0,0,0,0,0
  7-9,0,11.14,0,0,0,4.15,0,0,0,0,0,73.95,0,12.05,0,3.63,0,0,0,0,0,0
 10-12,0,0,5.18,0,0,0,0,0,0,0,0,71.71,0,14.4,0,0,0,3.69,0,0,0,0
 14-21,0,0,0,3.04,0.86,4.88,1.45,0,0,7.23,0.82,77.84,0,1.33,0,0,7.25,0.94,2.48,23.24,4.61,0
 24-34,0,0,0,0.69,0.66,6.64,0.7,0,0,1.71,1.56,18.27,2.01,0,0,0,0,0,0,4.05,1.78,0
 36-46,0,0,0,0,0,6.59,0,0,0,3.54,0.63,25.45,0,0,0,0,0,0,0,3.48,0,0
 48-58,0,0,0,2.34,0.38,5.75,1.27,0,0.41,2.07,0.43,11.96,0,0,0,0,0,0,0,0.56,0,0
 60-70,0,0,0,0,0,3.08,0,0,0,1.16,0,6,0,0,0,2.78,0,0,0,5.32,0,0
 72-82,0,0,0,0,0,3.5,0.56,0,0,3.79,0.56,8.44,0,0,0.71,0,0,0,0,4.33,0,0
 84-94,0,0,0,0,0,2.07,0.65,0,0,5.13,0.88,3.01,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.89,0,0,6.4,0,1.29,0,0,0,0,0,0,0,0,0.56,5.74
108-118,0,0,0,0,0,1.82,1.25,0.92,0,3.66,0,8.86,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,4.16,0,8.03,0,0,0,0,0,0,0,0,0,0
