stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,64.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.91,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.1,49.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,3.62,0,3.85,0,0,0,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,40.99,8.25,0,0,51.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.1,0,27.01,0,0,0,32.51,0,0,0,0,0,0,0,0,0,0,0,0,0,658.31,9.79,0,0,206.77,0,0,0,0,31.48,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,2.59,24.6,13.09,0,5.79,0,0,218.61,0,0,0,3.21,0,0,10.45,0,0,3.11,241.43,2.69,16.04,35.9,12.54,0,0,3.29,7.89,223.77,2.3,16.48,692.48,0,0,3.05,0,0
 24-34,0,0,2.65,1.3,7.62,0,0,9.32,0,0,182.72,0.74,1.06,0,0,0,9.37,23.33,0,0,3.92,205.15,2.77,80.73,12.2,0,0,1.58,0,0,126.51,0,13.61,420.53,0,0,0,0,0
 36-46,0,0,0,0,6.55,0,0,20.06,0,2.07,139.69,1.83,0,0,0,0.66,0,10.01,0,0,1.6,191.79,0,92.03,8.02,0,0,0,0.65,0,101.02,1.73,0,311.11,0,0,0,0,2.36
 48-58,0,0,0,0,2.93,0,0,22.31,0,0,116.69,0,1.28,0,0,5.38,0,30.88,0,0,1.5,133.46,0,89.78,14.69,0,0,0,0,0,37.1,0,0,223.67,0,0,1,0,0.47
 60-70,0,0,0.62,0,10.78,0,0,22.82,0,0.9,141.53,0.85,0.6,0,0,11.11,0,56.22,1.53,0.87,1,137.34,0,86.28,27.9,0,0,0,0,0,10.45,0,0,108.44,0,1.63,0,0,0
 72-82,0,0,1.23,0,1.82,0,0,23.02,0,0,94.48,2.26,0,0,0,14.41,0,84.39,0,0.91,0.84,94.12,0,136.5,34.87,0,2.35,1,0,0,7.03,0,0,70.07,0,2.85,2.19,0,0
 84-94,0,0,2.09,2.48,5.64,0,0,27.6,0,0,96.79,3.85,0,1.6,0,24.42,0,49.03,0,3.14,0,60.49,0.72,130.49,46.05,0,0,0,0,0,16.78,0,0,92.87,0,0.64,0.64,7.64,4.79
 96-106,0,0,0,1.92,9.47,0,0,20.07,0.63,0,94.39,3.68,0.89,0.64,0.64,41.22,0,76.15,0,0,0,73.84,0,139.38,51.89,0,0,2.21,0,0,9.57,0,0,106.78,0,2.42,3.78,0,1.24
108-118,0,0,1.6,3.75,2.51,0.55,2.84,13.82,1.11,0.85,82.43,1.64,0,1.11,0,24.5,0,82.7,0,14.35,1.24,107.47,0,118.15,53.12,0,2.7,0.64,0,0,17.75,0,0,35.31,0.67,0,2.18,4.5,0
120,0,0,0,0,4.05,0,0,20.19,1.14,0,34.13,0,0,4.73,0,29.98,3.16,41.8,0,0,0,96.53,0,41.24,81.31,0,5.29,0,0,0,7.81,0,0,38.07,0,11.05,1.26,0,0
