stage,axial,blastomeres,epidermis,eye,hatching_gland,immune,mesenchyme,neural,paraxial_mesoderm,periderm,vasculature
  3-4,69.36,1815.91,0,0,0,0,0,0,0,64.14,0
  5-6,36.49,321.35,0,0,0,0,0,0,0,0,0
  7-9,9.3,0,0,16.74,5.13,0,0,55.21,36.96,0,0
 10-12,0,0,0,0,0,0,0,8.87,0,0,0
 14-21,0,0,0,0,0,0,0,0.89,0,0,0
 60-70,0,0,0,0,0,0,0,5.61,0,0,0
 72-82,0,0,1.32,0.81,0,1.19,0,0,0,0,0
 84-94,0,0,0,0,0,2.34,1.84,0,0,0,0.71
 96-106,0,0,0,0,0,5.73,0,0,0,0,0
108-118,0,0,1.83,3.2,0,1.37,2.09,2.06,0,0,0
120,0,0,1.21,0,0,2.86,3.48,3.59,0,0,0
