stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,6.43,70.97,7.84,0,49.46,0,0,0,5.58,3.61,0,0,6.71,0,0,0,1.65,85.48,0,0,117.67,400.69,17.69,1.92,2.13,11.41,0,2.44,39.76,1.9,65.5,149.78,0,0,2.18,0,0
 24-34,0,0.65,3.91,41.07,0.67,0,56.43,0,0,4.68,21.29,0.67,3.17,0.67,0.69,0,3.05,1.6,0,271.99,3.08,0,110.35,698.02,19.12,0.6,6.01,0,0,1.56,0,0,11.78,226.98,0,0,15.43,0,0
 36-46,8.46,0,0,36.38,0,0,67.64,0,0.68,2.72,34.2,0,0.87,0,0,0,0,1.24,1.51,335.62,0,8.95,62.58,459.1,28.08,1.17,10.51,0,0,3.64,0,0,0,191.14,0,0,19.66,0,0
 48-58,0,0,0,17.15,1.51,0,70.08,0,0.43,4.17,51.39,0,1.14,0,0,0,0.9,0,6.35,343.12,0.59,2.58,44.28,158.08,17.21,0,1.68,0,0,0,0,0,0,89.07,0,0,9.72,0,10.92
 60-70,0,0,0,10.36,0,0,76.26,0,8.66,18.71,108.47,0,0.7,0.76,0.61,0,0.8,1.62,0,476.67,0,8.8,39.12,82.15,8.86,0,1.49,0,2.1,0,0,0,0,35.93,0,4.99,24.11,1.72,1.98
 72-82,0,0,0,12.88,0,0,56.81,6.64,1,9.82,108,0.58,0,0,0.63,0,3.18,0,0,727.16,0,14.42,28.74,94.42,0.53,4.31,5.65,0,1.05,1.39,0,2.52,0,9.65,0,7.96,32.15,8.47,7.99
 84-94,0,0,0,31.3,7.13,0,68.88,0,11.1,11.11,78.5,1.53,3.41,1.12,0.75,2.44,1.24,0,2.24,648.83,0.58,22.77,21.02,70.84,6.7,2.89,16.61,0,0.83,0.72,0,0,0,14.15,1.32,2.55,9.28,27.16,0
 96-106,0,0,0,29.69,4.61,0,59.02,0.99,6.47,21.39,97.07,3.19,2.99,1.52,0,2.85,0,11.6,2.03,498.42,0.67,37.35,32.21,96.83,7.68,0,4.57,0,10.64,0,0,0,0,8.18,0,8.17,14.89,12.69,1.19
108-118,0,0,0,51.69,0,0.45,93.91,1,26.4,9.78,158.57,5.21,7.4,0.87,1.51,2.58,0.96,3.99,6.39,662.16,0,19.19,24.87,77.54,11.64,1.1,19.76,0,9,3.65,0,0.42,0,5.35,2,7.84,14.11,5.83,0
120,0,0,0,70.49,0,5.97,75.51,0,8.4,1.74,168.79,2.67,10.82,3.23,0,0,2.53,0,0,811.77,13.3,62.56,19.82,174.51,34.67,1.09,8.97,0,15.79,0,0,2.11,0,14.04,0,1.95,40.18,33.54,0
