stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,3.5,0,0,0,0,0,0,0,50.48,0,0,4.24,0,0,0,0,0
 10-12,0,5.93,0,0,5.97,0,0,0,0,0,54.3,0,0,10.43,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0.88,0,2.13,0,0.88,0
 24-34,0,0,0,0.69,0,1.12,4.11,0,0.73,0,29.34,1.21,0,0,0,0,0.62,5.41,0
 36-46,0,0,0,0,0,2.47,0,0,2.7,0,16.4,0,0,0,0,0,0,4.8,0
 48-58,0,0,0,7.92,0,17.08,0.45,0,1.44,0,18.37,1.71,0,0,0,0,0,4.17,0
 60-70,0,0,0,0,0,11.36,0,0,0.6,0,18.3,0,0,0,0,0,0,6.16,0
 72-82,0,0,0,0,1.55,11.93,0,0,2.48,0.6,27.12,0,0,0,1.73,0,0,0,0
 84-94,0,0,0,0,0,2.43,0,0,6.29,0,6.19,0,1.05,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.6,0,0,0,0,4.76,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,6.89,0,0,1.01,0,6.12,0,0.68,0,0.83,0,0,0,0.71
120,0,0,0,5.53,0,0,9.81,4.83,2.81,0,70.79,0,0,0,0,0,0,0,0
