stage,endocrine.pancreas,gut,immune,mural.cell,neural,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,10.17,0,0
 60-70,0,0.63,1.8,0,0,0,0
 72-82,0.83,2.26,0,1.13,0,1.21,0.51
 84-94,0,3.93,0,0,0,0,1.35
 96-106,1.56,0,0,2.61,0,0,0
108-118,0.98,1.91,0,3.06,0,0,0
