stage,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord,vasculature
  5-6,11.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.23,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.04,0,0,0.85,1.25,0
 24-34,0,0,0,0,0,0,0,0,0,1.38,0,0
 36-46,0,0,2.07,0,0,0.81,14.1,0,0,0,0,0
 48-58,0,0,0,0,0,0,13.37,2.68,0,0,8.11,0
 60-70,0,0.84,0,0,0,0,11.49,0,0,0,0,0.84
 72-82,0,9.42,0,0,0,0,3.14,1.43,0,0,0,0
 84-94,0,0,0,0,0.61,0,4.55,1.71,0,0,0,0
 96-106,0,0,0,0,0,3.06,3.4,0,0.77,0,0,0
108-118,0,0,0,0,0,0,7.17,0,0,0,0,0
120,0,0,0,1.87,0,0,11.88,9.62,0,2.61,1.57,0
