stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,38.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0
  5-6,19.92,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,14.29,0,0,0,9.66,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.78,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.81,0.92,0,0,0,0,0,0,0,0,0.82,0,0,3.8,0,0,0,0,2.1,0,0,0,0,0
 24-34,0,0,0,0,1.59,0,0,0,0,0,0,7.54,0,0,32.74,0,1.55,0.67,0,0,0,7.37,0,2.24,0
 36-46,0,2.17,0,0,7.51,0,0,0,0,0.68,1.46,1.56,0,0,48.29,0.56,0,5.19,0,1.88,0,9.05,0,0.77,0
 48-58,0,5.43,0,0,6.76,0,1.51,0,0,0,0.41,2.73,0,1.23,54.15,0,0,0,0,3.96,0,12.01,0,0,0
 60-70,0,0.72,0,0,23.8,1.49,2.64,0,0,0,0,0,0.73,0,89.6,0,1.19,0,0,0,0,4.43,0,0,0
 72-82,0,0,0,0,16.61,0,1.76,0,0,0,0,10.58,0,0,83.69,0,0,0,0,1.28,0,7.06,0,0,2.54
 84-94,0,0,7.42,0,19.69,0,5.45,0,0,0,4.39,6.35,0,0,40.83,0,0,0,0,1.91,0,0,0,0,0
 96-106,0,5.17,0,0,8.68,0,2.06,0,0,0,0,0.93,0,2.15,38.96,0,1.43,0,0,0.65,0,0,0,0,0
108-118,0,0.46,0,0.5,3.24,0,0,0,0.64,0,0,6.55,0,0.92,36.14,0,1.21,0,0,0.51,0,0,0.96,0,1.88
120,0,1.16,0,0,36.38,0,5.83,0,0,0,0,12.89,0,0,97.02,0,0,0,0,0,4.58,7.79,0,0,0
