stage,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,taste
 10-12,0,0,0,4.92,0,0,11.82,0,0,0,0,0
 14-21,0,0,0,0,0,1.32,1.2,0,0,1.82,1.72,0
 24-34,0,0,0,0,0,0,0.79,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.03,0,2.17,0,1.5,0
 48-58,1.73,0,0.74,0,0,0,7.27,0.41,0,0,0,0
 60-70,9.7,0,0,0,0,0,5.04,0,0,0,0.85,0
 72-82,4.18,0.94,0,0,1.09,0,3.01,1.18,0.87,0,0,0
 84-94,2.71,0,0,0,0,0,0,0,0,0,0,1.63
 96-106,0,0,0,0,0,0,3.83,0,0,0,0,0
108-118,2.23,0,0,0,0,0,0,2.17,0,0,0,0
120,5.51,0,0,0,0,0,0,0,0,0,0,0
