stage,blastomeres,epidermis,glial,gut,mesenchyme,mural.cell,muscle,neural,vasculature
  3-4,14.32,0,0,0,0,0,0,0,0
  5-6,53.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,27.46,0
 24-34,0,0,0,0,0,0,0.73,1.74,0
 36-46,0,0,0,0,0,0,0,1.1,0
 48-58,0,0,0,0,0,0.54,0,0.56,1.98
 60-70,0,0,0,0,0,0,0,1.97,0
 72-82,0,2.13,1.36,0,2.11,0,0,0,0
120,0,0,0,1.19,6.66,0,0,0,0
