stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.94,0,0,0,7.23,0,0,0,0,8.74,0,0,0,0,0,0,0,0
 14-21,0,0,16.6,5.53,26.01,3.25,0,0.9,0,0,0,10.85,1.08,0,0,4.54,0,0,0,0,17.34,0,0.87,101.17,2.16,3.28,5.72,0,0,0,0,1.03,146.18,13.66,4.64,248.1,0,0,0,0,0
 24-34,0,0,16.64,0,27.82,0,0,20.46,0,1.11,0,5.45,0,0,0,0,0,1.57,0,0,31.41,0,11.98,748.27,1.43,5.5,2.57,0,0,14.02,0,0,36.95,0,0,615.29,0,0,1.81,0,13.27
 36-46,0,0,4.36,0.84,9.02,2.69,0,88.7,0,0,2.07,4.99,0,0.79,0,9.04,0,0.61,0,0,22.55,0,34.69,1115.77,0,3.33,0,0,0,28.57,0,0,13.04,0,0,1079.74,0,0,1.9,0,14.01
 48-58,0,0,0.86,0,9.5,0,0,210.58,0,5.49,0,25.83,1.54,0,0,0.51,0,0,0,3.8,18.97,0,33.05,900.44,0,0,0,0,0,7.66,0,0,18.57,0,0,909.13,0,0,5.26,0,21.01
 60-70,0,0,6.8,0,29.57,0,0,334.25,0,0,0,12.95,6.7,0,1.16,0,2.76,0,0,0,31.34,0,28.99,773.18,0,12.61,1.23,0,0,3.23,0,0,17.56,0,0,673.51,1.62,0,0,0,15.89
 72-82,0,0,41.29,0,65.81,1.63,0,267.85,6.88,1.28,7.33,24.13,12.69,0,0,0,1.38,0,0,0,61.59,2.02,34.84,879.52,0,7.38,0.56,0,0,8.76,4.96,0,6.29,0,0,553.46,24.22,0,4.36,2.88,16.16
 84-94,0,0,34.12,0,84.74,0.65,0,211.74,5.2,0.63,0,21.39,43.25,0,4.83,0,1.23,1.91,0.83,0,65,0,21.54,694.08,0,4.39,6.53,0,0,7.29,0,0,11.8,0,0,369.22,36.59,2.13,0.96,0.6,6.11
 96-106,0,0,43.88,0,72.61,0,0,396.95,8.5,2.7,0.75,41.27,34.46,0,1.76,0,2.85,0.58,28.95,0,55.42,0,26.45,582.21,0,2.47,15.95,0,0,7.17,16.48,0,7.37,0,0,148.38,27.77,0,0,0,0
108-118,0,0,34.92,0,16.44,2.9,6.41,367.59,0,4.68,0.65,45.12,32.23,0.98,2.64,0.5,1.73,0,7.97,0,83.94,1.81,18.39,676.82,0.51,4.61,15.75,0,0.89,8.28,0,0,13.54,0,0,96.63,47.63,0,1.49,0,3.75
120,0,0,14.53,0,28.78,0,0,351.8,2.39,2.23,0,89.29,40.89,0,3.15,0,0,0,0,0,65.93,0,9.16,859.39,0,19.29,8.55,0,0,1.35,0,0,14.48,0,0,294.52,12.91,0,2.43,0,0
