stage,axial,blastomeres,epidermis,eye,glial,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,97.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,77.85,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0
  7-9,12.53,3.94,0,0,0,0,0,0,0,0,41.52,0,4.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.26,0,7.24,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0,0,1.01,0,2.69,0,0,0,0,2.03,0,0,0,0,0
 24-34,0,0,2.14,0.84,1.56,0,0,0,0,0,18.01,0,0,0,0,0,12.6,0,0,0,0
 36-46,0,0,0.66,2.67,7.75,0,0,2.14,2.28,0.92,21.39,0,0,0,0,0,8.62,0,1.23,0,0
 48-58,0,0,0,2.08,9.08,0,0,8.2,2.59,0,39.49,0,0,0,0,0,18.04,0,0,0,0.38
 60-70,0,0,0,6.59,4.32,0,0,0.93,0.91,0,22.14,0,0,0,0,0,21.44,0,0,0,0
 72-82,0,0,3.53,14.78,6.59,0,0,2.3,0,0,50.4,0,0,0,0,0,20.09,1.92,0,0,0
 84-94,0,0,0,8.42,2.91,0,0,0.99,0,0,22.13,0,0,0,0,0,10.18,0,0,0.89,0
 96-106,0,0,0,86.13,5.22,0,0,1.3,9.79,0,29.71,0,0,0.73,0,0,13.95,0,0,1.5,0
108-118,0,0,0,18.51,1.78,0.85,0,0.94,0.63,0,24.94,4.87,0,0,3.63,0,1.33,0,1.8,0,0
120,0,0,1.69,17.16,16.14,0,8.53,0,0,0,99.16,0,0,0,0,0,10.42,0,0,0,0
